title,description,position,full_name,first_name,last_name,gender,place
Lijst 10 Partij voor de Dieren,,1,N.K. Koffeman,Niko,Koffeman,m,Vierhouten
Lijst 10 Partij voor de Dieren,,2,D.W. van Liere,Diederik,van Liere,m,Assen
Lijst 10 Partij voor de Dieren,,3,A.A.H. Hazekamp,Anja,Hazekamp,v,Alteveer
Lijst 10 Partij voor de Dieren,,4,B.E.J.M. Verstappen,Birgit,Verstappen,v,Hilvarenbeek
Lijst 10 Partij voor de Dieren,,5,F.P. Wassenberg,Frank,Wassenberg,m,Geleen
Lijst 10 Partij voor de Dieren,,6,L.A.M. Stoop,Bert,Stoop,m,Groningen
Lijst 10 Partij voor de Dieren,,7,L. Folkerts,Luuk,Folkerts,m,Amersfoort
Lijst 10 Partij voor de Dieren,,8,L.R. van der Veer,Luuk,van der Veer,m,Apeldoorn
Lijst 10 Partij voor de Dieren,,9,K.E. Soeters,Karen,Soeters,v,Amsterdam
Lijst 10 Partij voor de Dieren,,10,E.B. Eskens,Erno,Eskens,m,Amsterdam
