title,description,position,full_name,first_name,last_name,gender,place
Lijst 3 VVD,,1,U. Rosenthal,Uri,Rosenthal,m,Rotterdam
Lijst 3 VVD,,2,H.M. Dupuis,Heleen,Dupuis,v,Voorschoten
Lijst 3 VVD,,3,L.M.L.H.A. Hermans,Loek,Hermans,m,Beetsterzwaag
Lijst 3 VVD,,4,S. Schaap,Sybe,Schaap,m,Emmeloord
Lijst 3 VVD,,5,G.J.J. Biermans,Ger,Biermans,m,Velden
Lijst 3 VVD,,6,G.J. de Graaf,Fred,de Graaf,m,Loenen (Gld)
Lijst 3 VVD,,7,E.M. Kneppers-Heijnert,Liesbeth,Kneppers-Heijnert,v,Sauwerd
Lijst 3 VVD,,8,A. Broekers-Knol,Ankie,Broekers-Knol,v,Overveen
Lijst 3 VVD,,9,F.E. van Kappen,Frank,van Kappen,m,Doorn
Lijst 3 VVD,,10,P.H. Hofstra,Pieter,Hofstra,m,Zuidlaren
Lijst 3 VVD,,11,P. Swenker,Paula,Swenker,v,Heelsum
Lijst 3 VVD,,12,A.W. Duthler,Anne-Wil,Duthler,v,’s-Gravenhage
Lijst 3 VVD,,13,W.H. Huijbregts-Schiedon,Helmi,Huijbregts-Schiedon,v,Oosterhout (NB)
Lijst 3 VVD,,14,E. Asscher,Edward,Asscher,m,Amsterdam
Lijst 3 VVD,,15,M.A.J. Knip,Menno,Knip,m,Almelo
Lijst 3 VVD,,16,A.P. Buunk,Bram,Buunk,m,Groningen
Lijst 3 VVD,,17,M.P.M. van de Ven,Mart,van de Ven,m,Rijpwetering
Lijst 3 VVD,,18,J.A. Bruijn,Jan Anthonie,Bruijn,m,Wassenaar
Lijst 3 VVD,,19,W.G. de Raad,Wubbo,de Raad,m,Kraggenburg
Lijst 3 VVD,,20,R. van Benthem,Roland,van Benthem,m,Eemnes
Lijst 3 VVD,,21,F.T.M. Rohof,Frank,Rohof,m,Utrecht
Lijst 3 VVD,,22,M.J. Varekamp,Marius,Varekamp,m,Naaldwijk
Lijst 3 VVD,,23,A. Vriesendorp-Dutilh,Adrienne,Vriesendorp-Dutilh,v,Wassenaar
Lijst 3 VVD,,24,J. de Bondt,Johan,de Bondt,m,Laren (NH)
Lijst 3 VVD,,25,G.B. Nijhuis,Ad,Nijhuis,m,Ommen
Lijst 3 VVD,,26,F.W. Lantink,Frans Willem,Lantink,m,Haarlem
Lijst 3 VVD,,27,P.T.J.C. van Rooij,Peter,van Rooij,m,Utrecht
Lijst 3 VVD,,28,H.V. Vrind,Hans,Vrind,m,Rijswijk (ZH)
Lijst 3 VVD,,29,D.M. Swagerman,Dirk,Swagerman,m,Hilversum
Lijst 3 VVD,,30,R.E. Waterman,Ronald,Waterman,m,Delft
