title,description,position,full_name,first_name,last_name,gender,place
Lijst 4 GROENLINKS,,1,C.P. Thissen,Tof,Thissen,m,Roermond
Lijst 4 GROENLINKS,,2,B. Böhler,Britta,Böhler,v,Amsterdam
Lijst 4 GROENLINKS,,3,M.H.A. Strik,Tineke,Strik,v,Oosterbeek
Lijst 4 GROENLINKS,,4,Y. Koster-Dreese,Yolan,Koster-Dreese,v,Harmelen
Lijst 4 GROENLINKS,,5,H. Meijer,Herman,Meijer,m,Rotterdam
Lijst 4 GROENLINKS,,6,G.D. Minderman,Goos,Minderman,m,Utrecht
Lijst 4 GROENLINKS,,7,D. Gök,Dogan,Gök,m,Haarlem
Lijst 4 GROENLINKS,,8,F.J.W.M. Tas,Floris,Tas,m,Nijmegen
Lijst 4 GROENLINKS,,9,J.P. Laurier,Jan,Laurier,m,Leiden
Lijst 4 GROENLINKS,,10,B. Nugteren,Bas,Nugteren,m,Utrecht
Lijst 4 GROENLINKS,,11,J.A. Röell,Jaap,Röell,m,Hollandsche Rading
Lijst 4 GROENLINKS,,12,A.F. Bos,Attie,Bos,v,Houwerzijl
