title,description,position,full_name,first_name,last_name,gender,place
Lijst 5 SP (Socialistische Partij),,1,M.J.M. Kox,Tiny,Kox,m,Tilburg
Lijst 5 SP (Socialistische Partij),,2,T.M. Slagter-Roukema,Tineke,Slagter-Roukema,v,Zuidhorn
Lijst 5 SP (Socialistische Partij),,3,A.H. Meulenbelt,Anja,Meulenbelt,v,Amsterdam
Lijst 5 SP (Socialistische Partij),,4,G.A.T.M. Reuten,Geert,Reuten,m,Amsterdam
Lijst 5 SP (Socialistische Partij),,5,E.M.A. Smaling,Eric,Smaling,m,Weesp
Lijst 5 SP (Socialistische Partij),,6,A. Elzinga,Tuur,Elzinga,m,Haarlem
Lijst 5 SP (Socialistische Partij),,7,G.H.M.M. ten Horn,Sineke,ten Horn,v,Groningen
Lijst 5 SP (Socialistische Partij),,8,A. Vliegenthart,Arjan,Vliegenthart,m,Amsterdam
Lijst 5 SP (Socialistische Partij),,9,A.C. Quik-Schuijt,Nanneke,Quik-Schuijt,v,Zeist
Lijst 5 SP (Socialistische Partij),,10,C. Slager,Kees,Slager,m,Poortvliet
Lijst 5 SP (Socialistische Partij),,11,P.W.J. Peters,Paul,Peters,m,Utrecht
Lijst 5 SP (Socialistische Partij),,12,B.T.H.M. Palm,Ineke,Palm,v,Rotterdam
Lijst 5 SP (Socialistische Partij),,13,J.A.M.E. Iding,Jules,Iding,m,Oss
Lijst 5 SP (Socialistische Partij),,14,J.J.F.M. Zonneveld,Jeroen,Zonneveld,m,Amsterdam
Lijst 5 SP (Socialistische Partij),,15,T.S.J. Cornelissen,Theo,Cornelissen,m,Rotterdam
Lijst 5 SP (Socialistische Partij),,16,A. van de Kolk,Ad,van de Kolk,m,Witmarsum
Lijst 5 SP (Socialistische Partij),,17,M.F.A. de Wit-Romans,Riet,de Wit-Romans,v,Heerlen
Lijst 5 SP (Socialistische Partij),,18,D. Yildirim,Düzgün,Yildirim,m,Zwolle
Lijst 5 SP (Socialistische Partij),,19,J.W. Bouman,Willem,Bouman,m,Doesburg
Lijst 5 SP (Socialistische Partij),,20,R.F. Ruers,Bob,Ruers,m,Utrecht
Lijst 5 SP (Socialistische Partij),,21,B. de Roos-Consemulder,Trix,de Roos-Consemulder,v,Vlissingen
Lijst 5 SP (Socialistische Partij),,22,J.J.C. van den Hout,Johan,van den Hout,m,Tilburg
Lijst 5 SP (Socialistische Partij),,23,P.H. Oosterlaak,Philip,Oosterlaak,m,Nieuweroord
Lijst 5 SP (Socialistische Partij),,24,A.M.E. Lewe,Agnes,Lewe,v,Nijmegen
Lijst 5 SP (Socialistische Partij),,25,F.M.A. van Ballegooij,Felix,van Ballegooij,m,Roermond
Lijst 5 SP (Socialistische Partij),,26,M.A. ten Heuw,Mariska,ten Heuw,v,Hengelo (O)
Lijst 5 SP (Socialistische Partij),,27,J.M.E. de Groot,Anna,de Groot,v,Wormerveer
Lijst 5 SP (Socialistische Partij),,28,P.J.C. de Peuter,Piet,de Peuter,m,Geertruidenberg
Lijst 5 SP (Socialistische Partij),,29,H. van Ravenzwaaij,Herbert,van Ravenzwaaij,m,Almere
Lijst 5 SP (Socialistische Partij),,30,J. Yahyaoui,Jamila,Yahyaoui,v,Utrecht
