title,description,position,full_name,first_name,last_name,gender,place
Lijst 7 ChristenUnie,,1,E. Schuurman,Egbert,Schuurman,m,Breukelen
Lijst 7 ChristenUnie,,2,R. de Boer,Remmelt,de Boer,m,Kampen
Lijst 7 ChristenUnie,,3,E.F. Lagerwerf-Vergunst,Flora,Lagerwerf-Vergunst,v,Ridderkerk
Lijst 7 ChristenUnie,,4,R. Kuiper,Roel,Kuiper,m,Barneveld
Lijst 7 ChristenUnie,,5,L.C. Groen,Bert,Groen,m,Ruinen
Lijst 7 ChristenUnie,,6,C.P. van Gastel,Lia,van Gastel,v,Langelo
Lijst 7 ChristenUnie,,7,M. Verhage-van Kooten,Marianne,Verhage-van Kooten,v,Huizen
Lijst 7 ChristenUnie,,8,A. Hoogendoorn,Adriaan,Hoogendoorn,m,Waddinxveen
Lijst 7 ChristenUnie,,9,D.G. Rots,Gerdien,Rots,v,Zwolle
Lijst 7 ChristenUnie,,10,M. van Daalen,Thijs,van Daalen,m,Zeewolde
Lijst 7 ChristenUnie,,11,H. Jochemsen,Henk,Jochemsen,m,Bennekom
Lijst 7 ChristenUnie,,12,J. Westert,Jan,Westert,m,Ommen
Lijst 7 ChristenUnie,,13,J.L. Evertse,Joop,Evertse,m,Hardinxveld-Giessendam
Lijst 7 ChristenUnie,,14,J.E. Greving,Jan,Greving,m,Leeuwarden
Lijst 7 ChristenUnie,,15,H. Visser,Henk,Visser,m,Elburg
Lijst 7 ChristenUnie,,16,R. Ferwerda,Rein,Ferwerda,m,Morra
