title,description,position,full_name,first_name,last_name,gender,place
Lijst 12 EUROPESE KLOKKENLUIDERS PARTIJ (EKP),,1,J. Wiersma,Joeri,Wiersma,m,Leeuwarden
Lijst 12 EUROPESE KLOKKENLUIDERS PARTIJ (EKP),,2,E.H. Vrouwe,Engel,Vrouwe,m,Warga
Lijst 12 EUROPESE KLOKKENLUIDERS PARTIJ (EKP),,3,H. Wiersma,Harm,Wiersma,m,Goutum
Lijst 12 EUROPESE KLOKKENLUIDERS PARTIJ (EKP),,4,H.G.C. Schattenberg,Henk,Schattenberg,m,Barneveld
Lijst 12 EUROPESE KLOKKENLUIDERS PARTIJ (EKP),,5,H.C. Elenbaas,Hanco,Elenbaas,m,Amsterdam
Lijst 12 EUROPESE KLOKKENLUIDERS PARTIJ (EKP),,6,A. Polak,Anne,Polak,m,Leeuwarden
Lijst 12 EUROPESE KLOKKENLUIDERS PARTIJ (EKP),,7,G.G. de Wilde,Gerard,de Wilde,m,Kranenburg (DE)
Lijst 12 EUROPESE KLOKKENLUIDERS PARTIJ (EKP),,8,C.T.G.A. Schouten,Ineke,Schouten,v,Bergen op Zoom
Lijst 12 EUROPESE KLOKKENLUIDERS PARTIJ (EKP),,9,A.P. Sjerp,Lex,Sjerp,m,Leeuwarden
Lijst 12 EUROPESE KLOKKENLUIDERS PARTIJ (EKP),,10,W.A.J. Sikkes,Willem,Sikkes,m,Heerenveen
