title,description,position,full_name,first_name,last_name,gender,place
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,1,M. Berman,Thijs,Berman,m,Groningen
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,2,E. Bozkurt,Emine,Bozkurt,v,Zaandam
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,3,J.M.B. Cremers,Jan,Cremers,m,Utrecht
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,4,J.A. Merkies,Judith,Merkies,v,Brussel (BE)
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,5,R.H. Cuperus,René,Cuperus,m,Amersfoort
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,6,M.J.P.A. Clerx,Marijke,Clerx,v,Urmond
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,7,A.A.M. Meuleman,Louis,Meuleman,m,'s-Gravenhage
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,8,E.E. van Hijlckama Vlieg,Elsbeth,van Hijlckama Vlieg,v,'s-Gravenhage
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,9,L.K. Breemer,Lo,Breemer,m,Amsterdam
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,10,J.A. de Vries,Jannewietske,de Vries,v,Raerd
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,11,J.G.G. Bosch,Hans,Bosch,m,Kerkrade
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,12,J.M. Drees,Marijke,Drees,v,Groningen
Lijst 2 P.v.d.A./Europese Sociaaldemocraten,Gecombineerd met GROENLINKS,13,M.C.J. Siecker,Martin,Siecker,m,Schermerhorn
