title,description,position,full_name,first_name,last_name,gender,place
Lijst 5 SP (Socialistische Partij),,1,C.D. de Jong,Dennis,de Jong,m,Rotterdam
Lijst 5 SP (Socialistische Partij),,2,K.T. Liotard,Kartika,Liotard,v,Borculo
Lijst 5 SP (Socialistische Partij),,3,N.M. van Gemert,Nicole,van Gemert,v,Utrecht
Lijst 5 SP (Socialistische Partij),,4,N.A. Jongerius,Niels,Jongerius,m,Groningen
Lijst 5 SP (Socialistische Partij),,5,R. van Gisteren,Rein,van Gisteren,m,Hoeilaart (BE)
Lijst 5 SP (Socialistische Partij),,6,J. van Ruitenburg,Jessica,van Ruitenburg,v,Rotterdam
Lijst 5 SP (Socialistische Partij),,7,F.W. Futselaar,Frank,Futselaar,m,Zwolle
Lijst 5 SP (Socialistische Partij),,8,A. Elzinga,Tuur,Elzinga,m,Haarlem
Lijst 5 SP (Socialistische Partij),,9,E.M.A. Smaling,Eric,Smaling,m,Weesp
Lijst 5 SP (Socialistische Partij),,10,P.L. Vermeulen,Bart,Vermeulen,m,Leiden
Lijst 5 SP (Socialistische Partij),,11,V.H. Mulder,Vincent,Mulder,m,Hengelo Ov
Lijst 5 SP (Socialistische Partij),,12,A.S.A.H. Schaminée,Stephan,Schaminée,m,Boxmeer
Lijst 5 SP (Socialistische Partij),,13,R.P.E. Meyer,Ron,Meyer,m,Heerlen
Lijst 5 SP (Socialistische Partij),,14,M.J.M. Berendse,Marga,Berendse,v,Zoetermeer
Lijst 5 SP (Socialistische Partij),,15,J. Yahyaoui,Jamila,Yahyaoui,v,Utrecht
Lijst 5 SP (Socialistische Partij),,16,J.H.P. Kwisthout,Johan,Kwisthout,m,Breda
Lijst 5 SP (Socialistische Partij),,17,R. Alberts-Oosterbaan,Remine,Alberts-Oosterbaan,v,Amsterdam
Lijst 5 SP (Socialistische Partij),,18,C. Sacco,Colette,Sacco,v,Purmerend
Lijst 5 SP (Socialistische Partij),,19,H. Brader,Rikus,Brader,m,Finsterwolde
Lijst 5 SP (Socialistische Partij),,20,M.C. Piepers,Marloes,Piepers,v,Nijmegen
Lijst 5 SP (Socialistische Partij),,21,A.H.L. Theeuwen,Antoine,Theeuwen,m,Leiden
Lijst 5 SP (Socialistische Partij),,22,S.M. Beckerman,Sandra,Beckerman,v,Groningen
Lijst 5 SP (Socialistische Partij),,23,E. Kaya,Erdogan,Kaya,m,Doesburg
Lijst 5 SP (Socialistische Partij),,24,T.E. Siderius,Tjitske,Siderius,v,Zwolle
Lijst 5 SP (Socialistische Partij),,25,I.M. Gyömörei-Agelink,Ingrid,Gyömörei-Agelink,v,'s-Gravenhage
Lijst 5 SP (Socialistische Partij),,26,S.J. Zeegers,Spencer,Zeegers,m,Uden
Lijst 5 SP (Socialistische Partij),,27,A.J. Hoekstra,Arnout,Hoekstra,m,Vlaardingen
Lijst 5 SP (Socialistische Partij),,28,M.P. Meijer,Meta,Meijer,v,Amsterdam
Lijst 5 SP (Socialistische Partij),,29,J.B. van der Horst,Jos,van der Horst,m,Drachten
Lijst 5 SP (Socialistische Partij),,30,N.G.L. Heijmans,Nico,Heijmans,m,'s-Hertogenbosch
