title,description,position,full_name,first_name,last_name,gender,place
Kieskring 11-Lijst 9 Partij voor de Dieren,,1,M.L. Thieme,Marianne,Thieme,v,Maarssen
Kieskring 11-Lijst 9 Partij voor de Dieren,,2,E. Ouwehand,Esther,Ouwehand,v,Leiden
Kieskring 11-Lijst 9 Partij voor de Dieren,,3,A.A.H. Hazekamp,Anja,Hazekamp,v,Alteveer Gn
Kieskring 11-Lijst 9 Partij voor de Dieren,,4,F.P. Wassenberg,Frank,Wassenberg,m,Geleen
Kieskring 11-Lijst 9 Partij voor de Dieren,,5,A.E. van Liere,Bram,van Liere,m,Haarlem
Kieskring 11-Lijst 9 Partij voor de Dieren,,6,L. Folkerts,Luuk,Folkerts,m,Amersfoort
Kieskring 11-Lijst 9 Partij voor de Dieren,,7,E. Pampin Zuidmeer,Estefania,Pampin Zuidmeer,v,Leiden
Kieskring 11-Lijst 9 Partij voor de Dieren,,8,M.J. de Boo,Jasmijn,de Boo,v,Londen (UK)
Kieskring 11-Lijst 9 Partij voor de Dieren,,9,L.R. van der Veer,Luuk,van der Veer,m,Apeldoorn
Kieskring 11-Lijst 9 Partij voor de Dieren,,10,J.F.W. van Lammeren,Johnas,van Lammeren,m,Amsterdam
Kieskring 11-Lijst 9 Partij voor de Dieren,,11,M.J.E. de Groot,Marieke,de Groot,v,’s-Gravenhage
Kieskring 11-Lijst 9 Partij voor de Dieren,,12,W. van der Steeg,Willem,van der Steeg,m,De Meern
Kieskring 11-Lijst 9 Partij voor de Dieren,,13,B. van Genne,Barbara,van Genne,v,Amsterdam
Kieskring 11-Lijst 9 Partij voor de Dieren,,14,S.H.D. Voss,Harry,Voss,m,Apeldoorn
Kieskring 11-Lijst 9 Partij voor de Dieren,,15,A.J.M.M. Oomen,Ton,Oomen,m,Grave
Kieskring 11-Lijst 9 Partij voor de Dieren,,16,A.M.E. van Gelder,Annemarie,van Gelder,v,Makkinga
Kieskring 11-Lijst 9 Partij voor de Dieren,,17,J.P. Cruiming,Jan Peter,Cruiming,m,Zuidhorn
