title,description,position,full_name,first_name,last_name,gender,place
Kieskring 13-Lijst 16 Partij één,,1,Y. Candan,Yesim,Candan,v,Amsterdam
Kieskring 13-Lijst 16 Partij één,,2,J.M. Jessurun,Joziene,Jessurun,v,Bloemendaal
Kieskring 13-Lijst 16 Partij één,,3,L.R.M. Mokoginta,Layana,Mokoginta,v,Amsterdam
Kieskring 13-Lijst 16 Partij één,,4,A.C.M. van Heemstra,Alwine,van Heemstra,v,Amsterdam
Kieskring 13-Lijst 16 Partij één,,5,N. S¸ener,Nafize,S¸ener,v,Amsterdam
Kieskring 13-Lijst 16 Partij één,,6,M.M.F. Ruigrok,Miriam,Ruigrok,v,Schagen
Kieskring 13-Lijst 16 Partij één,,7,E. Visscher-Endeveld,Lies,Visscher-Endeveld,v,Etten
Kieskring 13-Lijst 16 Partij één,,8,C.M. Zandwijk,Meino,Zandwijk,m,Soest
Kieskring 13-Lijst 16 Partij één,,9,H.H. Poortman,Huib,Poortman,m,Rotterdam
Kieskring 13-Lijst 16 Partij één,,10,M. Lanting,Menno,Lanting,m,Arnhem
Kieskring 13-Lijst 16 Partij één,,11,B.Q. van Kampen,Bart,van Kampen,m,Bergen NH
Kieskring 13-Lijst 16 Partij één,,12,D. Karpes,Dennis,Karpes,m,Vijfhuizen
Kieskring 13-Lijst 16 Partij één,,13,H.G. Starren,Harry,Starren,m,Amsterdam
Kieskring 13-Lijst 16 Partij één,,14,M.C.D.P. Weggeman,Mathieu,Weggeman,m,Eindhoven
Kieskring 13-Lijst 16 Partij één,,15,N. Yerli,Nilgün,Yerli,v,Zandvoort
Kieskring 13-Lijst 16 Partij één,,16,S.A. Soetendorp,Awraham,Soetendorp,m,’s-Gravenhage
