title,description,position,full_name,first_name,last_name,gender,place
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,1,M.J. Cohen,Job,Cohen,m,Amsterdam
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,2,N. Albayrak,Nebahat,Albayrak,v,Rotterdam
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,3,R.H.A. Plasterk,Ronald,Plasterk,m,Bussum
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,4,M.I. Hamer,Mariëtte,Hamer,v,Maassluis
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,5,J.R.V.A. Dijsselbloem,Jeroen,Dijsselbloem,m,Wageningen
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,6,J. Klijnsma,Jetta,Klijnsma,v,’s-Gravenhage
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,7,D.M. Samsom,Diederik,Samsom,m,Leiden
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,8,G.A. Verbeet,Gerdi,Verbeet,v,Amsterdam
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,9,F.C.G.M. Timmermans,Frans,Timmermans,m,Heerlen
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,10,S.A.M. Dijksma,Sharon,Dijksma,v,Enschede
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,11,J.L. Spekman,Hans,Spekman,m,Utrecht
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,12,A.M.C. Eijsink,Angelien,Eijsink,v,’s-Gravenhage
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,13,M.H.P. van Dam,Martijn,van Dam,m,Utrecht
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,14,A.H. Kuiken,Attje,Kuiken,v,Breda
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,15,A. Marcouch,Ahmed,Marcouch,m,Amsterdam
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,16,R.A. Vermeij,Roos,Vermeij,v,’s-Gravenhage
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,17,V.A. Groot,Ed,Groot,m,Amsterdam
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,18,S.W. Dikkers,Sjoera,Dikkers,v,Haarlem
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,19,P.M.M. Heijnen,Pierre,Heijnen,m,’s-Gravenhage
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,20,L.T. Bouwmeester,Lea,Bouwmeester,v,Almere
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,21,J. Recourt,Jeroen,Recourt,m,Noord (AW)
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,22,A.G. Wolbert,Agnes,Wolbert,v,Annen
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,23,E. van der Veen,Eelke,van der Veen,m,Nieuwegein
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,24,P.E. Smeets,Pauline,Smeets,v,Sittard
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,25,M. Çelik,Metin,Çelik,m,Rotterdam
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,26,L. Jacobi,Lutz,Jacobi,v,Wergea
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,27,T.R. van Dekken,Tjeerd,van Dekken,m,Groningen
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,28,T.M. Jadnanansing,Tanja,Jadnanansing,v,Amsterdam
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,29,J.S. Monasch,Jacques,Monasch,m,Sneek
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,30,K. Arib,Khadija,Arib,v,Amsterdam
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,31,J. de Lange,Jeroen,de Lange,m,Kampala (UG)
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,32,M. Hilkens,Myrthe,Hilkens,v,Bennebroek
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,33,J.A.W.J. Leerdam,John,Leerdam,m,Amsterdam
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,34,M. Kraneveldt-van der Veen,Margot,Kraneveldt-van der Veen,v,Zoetermeer
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,35,M. Mohandis,Mohamed,Mohandis,m,Gouda
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,36,C.W.J.M. Roefs,Lia,Roefs,v,Bergen Lb
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,37,A.J.W. Boelhouwer,Jan,Boelhouwer,m,Tilburg
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,38,M.L. Vos,Mei Li,Vos,v,Amsterdam
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,39,H. Nijboer,Henk,Nijboer,m,’s-Gravenhage
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,40,A.J. Timmer,Anja,Timmer,v,Hengelo Ov
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,41,P. Kalma,Paul,Kalma,m,Amsterdam
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,42,B.W.M. Troost,Brigitte,Troost,v,Zierikzee
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,43,J.C. Vos,Jan,Vos,m,Landsmeer
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,44,M. Besselink,Marianne,Besselink,v,Groningen
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,45,W.J. Neerings,Wouter,Neerings,m,Rijswijk ZH
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,46,K. Yücel,Keklik,Yücel,v,Deventer
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,47,S.M. Wiemers,Serv,Wiemers,m,’s-Gravenhage
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,48,S.T.M. Laaper-ter Steege,Saskia,Laaper-ter Steege,v,Eindhoven
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,49,J.W. Spigt,Hans,Spigt,m,Dordrecht
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,50,M.V.H. van den Berg,Marije,van den Berg,v,Leiden
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,51,M.J.A. Reuten,Thijs,Reuten,m,Amsterdam
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,52,B. Oonk,Ria,Oonk,v,Culemborg
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,53,S. Terphuis,Sander,Terphuis,m,’s-Gravenhage
Kieskring 17-Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,54,C.D.M. Gill’ard,Chantal,Gill’ard,v,Rotterdam
