title,description,position,full_name,first_name,last_name,gender,place
Kieskring 6-Lijst 4 VVD,,1,M. Rutte,Mark,Rutte,m,’s-Gravenhage
Kieskring 6-Lijst 4 VVD,,2,E.I. Schippers,Edith,Schippers,v,Baarn
Kieskring 6-Lijst 4 VVD,,3,F. Teeven,Fred,Teeven,m,Amsterdam
Kieskring 6-Lijst 4 VVD,,4,J.A. Hennis-Plasschaert,Jeanine,Hennis-Plasschaert,v,Nederhorst den Berg
Kieskring 6-Lijst 4 VVD,,5,S.A. Blok,Stef,Blok,m,’s-Gravenhage
Kieskring 6-Lijst 4 VVD,,6,P. de Krom,Paul,de Krom,m,Leidschendam
Kieskring 6-Lijst 4 VVD,,7,F.H.H. Weekers,Frans,Weekers,m,Weert
Kieskring 6-Lijst 4 VVD,,8,A. Nicolaï,Atzo,Nicolaï,m,Amstelveen
Kieskring 6-Lijst 4 VVD,,9,C.B. Aptroot,Charlie,Aptroot,m,Wassenaar
Kieskring 6-Lijst 4 VVD,,10,B.G. de Boer,Betty,de Boer,v,Groningen
Kieskring 6-Lijst 4 VVD,,11,H. Zijlstra,Halbe,Zijlstra,m,Utrecht
Kieskring 6-Lijst 4 VVD,,12,A. van Miltenburg,Anouchka,van Miltenburg,v,Zaltbommel
Kieskring 6-Lijst 4 VVD,,13,J.H. ten Broeke,Han,ten Broeke,m,Haaksbergen
Kieskring 6-Lijst 4 VVD,,14,I. Dezentjé Hamming-Bluemink,Ineke,Dezentjé Hamming-Bluemink,v,Numansdorp
Kieskring 6-Lijst 4 VVD,,15,W.I.I. van Beek,Willibrord,van Beek,m,Maarheeze
Kieskring 6-Lijst 4 VVD,,16,C. van Nieuwenhuizen,Cora,van Nieuwenhuizen,v,Oisterwijk
Kieskring 6-Lijst 4 VVD,,17,J.F. Snijder-Hazelhoff,Janneke,Snijder-Hazelhoff,v,Wagenborgen
Kieskring 6-Lijst 4 VVD,,18,M. Azmani,Malik,Azmani,m,Stegeren
Kieskring 6-Lijst 4 VVD,,19,H. Neppérus,Helma,Neppérus,v,Voorschoten
Kieskring 6-Lijst 4 VVD,,20,T.M.C. Elias,Ton,Elias,m,’s-Gravenhage
Kieskring 6-Lijst 4 VVD,,21,M.G.J. Harbers,Mark,Harbers,m,Rotterdam
Kieskring 6-Lijst 4 VVD,,22,B.I. van der Burg,Brigitte,van der Burg,v,Bergschenhoek
Kieskring 6-Lijst 4 VVD,,23,T. Venrooy-van Ark,Tamara,Venrooy-van Ark,v,Nieuwerkerk aan den IJssel
Kieskring 6-Lijst 4 VVD,,24,A. Mulder,Anne,Mulder,m,’s-Gravenhage
Kieskring 6-Lijst 4 VVD,,25,E. Ziengs,Erik,Ziengs,m,Assen
Kieskring 6-Lijst 4 VVD,,26,G.A. van der Steur,Ard,van der Steur,m,Warmond
Kieskring 6-Lijst 4 VVD,,27,K.H.D.M. Dijkhoff,Klaas,Dijkhoff,m,Breda
Kieskring 6-Lijst 4 VVD,,28,W.J.H. Lodders,Helma,Lodders,v,Zeewolde
Kieskring 6-Lijst 4 VVD,,29,A.W. Lucas-Smeerdijk,Anne-Wil,Lucas-Smeerdijk,v,Bakkeveen
Kieskring 6-Lijst 4 VVD,,30,A. Bosman,André,Bosman,m,"Wichita Falls, TX (US)"
Kieskring 6-Lijst 4 VVD,,31,A.H.M. Schaart,Afke,Schaart,v,Wassenaar
Kieskring 6-Lijst 4 VVD,,32,R.W. Leegte,René,Leegte,m,Amersfoort
Kieskring 6-Lijst 4 VVD,,33,K.C.J. Straus,Karin,Straus,v,Roermond
Kieskring 6-Lijst 4 VVD,,34,J. Taverne,Joost,Taverne,m,"Washington, DC (US)"
Kieskring 6-Lijst 4 VVD,,35,J. Houwers,Johan,Houwers,m,Winterswijk
Kieskring 6-Lijst 4 VVD,,36,B.C. de Liefde,Bart,de Liefde,m,’s-Gravenhage
Kieskring 6-Lijst 4 VVD,,37,M.E. Huizing,Matthijs,Huizing,m,Oegstgeest
Kieskring 6-Lijst 4 VVD,,38,I.S.H. de Caluwé,Ingrid,de Caluwé,v,Amsterdam
