title,description,position,full_name,first_name,last_name,gender,place
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,1,M.C.F. Verdonk,Rita,Verdonk,v,Pijnacker
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,2,A.J.M. van der Putte,Arthur,van der Putte,m,’s-Gravenhage
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,3,C.J. Hoffman,Carel,Hoffman,m,Amsterdam
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,4,C.W. Koppens,Kees,Koppens,m,’s-Gravenhage
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,5,D.J. Uittenbogaard,Dirk,Uittenbogaard,m,Nieuwerkerk aan den IJssel
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,6,R.E. Martens,Roel,Martens,m,Delft
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,7,O.P.S.T.M. Smits,Olof-Jan,Smits,m,Antwerpen (BE)
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,8,J.G.M. Liedekerken,Mark,Liedekerken,m,Hulsberg
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,9,A. Hanekamp,André,Hanekamp,m,Purmerend
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,10,H. Hoekstra,Hanno,Hoekstra,m,Gemonde
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,11,J.A.M. Arntz,Jacques,Arntz,m,Bunde
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,12,L.M.G. van Hoek,Luc,van Hoek,m,Amsterdam
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,13,S.C.G.M. den Dulk-Winder,Suzanne,den Dulk-Winder,v,Alkmaar
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,14,M.L. Hagen,Martin,Hagen,m,Haarlem
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,15,A.A.A. Jansen,André,Jansen,m,Uithoorn
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,16,G. Bakker,Harry,Bakker,m,Nuth
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,17,R.G.G.M. Melchers,Reginald,Melchers,m,Rosmalen
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,18,F. Kruijer,Fred,Kruijer,m,Amersfoort
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,19,J. Bergwerff,Koos,Bergwerff,m,Schiedam
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,20,H.J.F.X.P. Stulemeijer,Hein,Stulemeijer,m,Weesp
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,21,N.D. Bakker,Nicole,Bakker,v,Hellevoetsluis
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,22,A.L. Mauritz,Dolf,Mauritz,m,Leiderdorp
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,23,L.C.M. Donkers,Loet,Donkers,m,Voorburg
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,24,S.R.L. Lancee,René,Lancee,m,Rijswijk ZH
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,25,A. Maslow,Anna,Maslow,v,Deventer
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,26,A.P.P. Huzemeier,Paul,Huzemeier,m,Amstelhoek
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,27,N.H.E.A. de Groot,Nathalie,de Groot,v,Eindhoven
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,28,M.S. Lucas,Mark,Lucas,m,Heerlen
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,29,H.D. Baldwin,Henri,Baldwin,m,Lemmer
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,30,L.A.W. Valkestijn,Leo,Valkestijn,m,Hingene (BE)
Kieskring 8-Lijst 13 TROTS OP NEDERLAND LIJST RITA VERDONK,,31,A.M.T. Schuller,Annemieke,Schuller,v,’s-Gravenhage
