title,description,position,full_name,first_name,last_name,gender,place
Lijst 11 PVV (Partij voor de Vrijheid),,1,M. de Graaf,,de Graaf,m,’s-Gravenhage
Lijst 11 PVV (Partij voor de Vrijheid),,2,R.J. Klever,,Klever,v,Ermelo
Lijst 11 PVV (Partij voor de Vrijheid),,3,M.J.R.L. de Graaff,,de Graaff,m,Rotterdam
Lijst 11 PVV (Partij voor de Vrijheid),,4,G.A. van Strien,,van Strien,m,Arcen
Lijst 11 PVV (Partij voor de Vrijheid),,5,R. Sörensen,,Sörensen,m,Rotterdam
Lijst 11 PVV (Partij voor de Vrijheid),,6,T.P.A.M. Reynaers,,Reynaers,m,Roosendaal
Lijst 11 PVV (Partij voor de Vrijheid),,7,G.J.F. Popken,,Popken,v,Purmerend
Lijst 11 PVV (Partij voor de Vrijheid),,8,M.H.M. Faber,,Faber,v,Hoevelaken
Lijst 11 PVV (Partij voor de Vrijheid),,9,M.A.J.L. Frijters-Klijnen,,Frijters-Klijnen,v,Bergen op Zoom
Lijst 11 PVV (Partij voor de Vrijheid),,10,P. van Dijk,,van Dijk,m,Kattendijke
Lijst 11 PVV (Partij voor de Vrijheid),,11,M.J. van Beek,,van Beek,m,Leersum
Lijst 11 PVV (Partij voor de Vrijheid),,12,C.J. Kok,,Kok,m,Almere
Lijst 11 PVV (Partij voor de Vrijheid),,13,R. Deurloo,,Deurloo,m,Mijnsheerenland
Lijst 11 PVV (Partij voor de Vrijheid),,14,A. Kops,,Kops,m,Zoetermeer
Lijst 11 PVV (Partij voor de Vrijheid),,15,P. Romeijn,,Romeijn,m,Leiden
Lijst 11 PVV (Partij voor de Vrijheid),,16,H.J. Folkersma,,Folkersma,v,Leiden
Lijst 11 PVV (Partij voor de Vrijheid),,17,R. Muste,,Muste,m,Hulst
Lijst 11 PVV (Partij voor de Vrijheid),,18,N.A. Choenni,,Choenni,v,’s-Gravenhage
Lijst 11 PVV (Partij voor de Vrijheid),,19,M.S. Ludriks,,Ludriks,m,Uithoorn
Lijst 11 PVV (Partij voor de Vrijheid),,20,Y.R.K. Waterman,,Waterman,v,Wouwse Plantage
