title,description,position,full_name,first_name,last_name,gender,place
Lijst 13 50PLUS,,1,J.G. Nagel,Jan,Nagel,m,Hilversum
Lijst 13 50PLUS,,2,M.H.H. Baay-Timmerman,Martine,Baay-Timmerman,v,Marbella (ES)
Lijst 13 50PLUS,,3,M.H.M. van Hulten,Michel,van Hulten,m,Lelystad
Lijst 13 50PLUS,,4,H.C.M. Krol,Henk,Krol,m,Eindhoven
Lijst 13 50PLUS,,5,C. Steendam Visser,Cees,Steendam Visser,m,Amsterdam
Lijst 13 50PLUS,,6,C. Slothouber,Cor,Slothouber,m,Groningen
Lijst 13 50PLUS,,7,J.W.H. Peters,John,Peters,m,Amersfoort
Lijst 13 50PLUS,,8,W.M.M. Hoek,Mieke,Hoek,v,Vreeland
Lijst 13 50PLUS,,9,W.L. Meerts,Leo,Meerts,m,Nijmegen
Lijst 13 50PLUS,,10,D.H. van der Haak-Levers,Dieuwke,van der Haak-Levers,v,Nieuwleusen
Lijst 13 50PLUS,,11,K.L.R. Ho Ten Soeng,Roy,Ho Ten Soeng,m,Venhuizen
Lijst 13 50PLUS,,12,W.J.M. Holthuizen,Willem,Holthuizen,m,Heemstede
Lijst 13 50PLUS,,13,O.H. Vellinga,Otto,Vellinga,m,Bolsward
Lijst 13 50PLUS,,14,A.H.J.F.S. Münninghoff,Alexander,Münninghoff,m,’s-Gravenhage
