title,description,position,full_name,first_name,last_name,gender,place
Lijst 5 ChristenUnie,,1,R. Kuiper,Roel,Kuiper,m,Barneveld
Lijst 5 ChristenUnie,,2,P. Ester,Peter,Ester,m,Baarn
Lijst 5 ChristenUnie,,3,S.J. Kennedy-Doornbos,Simone,Kennedy-Doornbos,v,Amersfoort
Lijst 5 ChristenUnie,,4,H.H. Sietsma,Herman,Sietsma,m,Ermelo
Lijst 5 ChristenUnie,,5,L.C. van Dijke,Leen,van Dijke,m,Middelburg
Lijst 5 ChristenUnie,,6,B.A. de Graaf,Beatrice,de Graaf,v,Utrecht
Lijst 5 ChristenUnie,,7,M. Haak-Griffioen,Marjan,Haak-Griffioen,v,Woerden
Lijst 5 ChristenUnie,,8,L.C. Groen,Bert,Groen,m,Ruinen
Lijst 5 ChristenUnie,,9,A. Hoogendoorn,Adriaan,Hoogendoorn,m,Waddinxveen
Lijst 5 ChristenUnie,,10,M.C. van Meppelen Scheppink,Martijn,van Meppelen Scheppink,m,Barendrecht
Lijst 5 ChristenUnie,,11,H.R. Schaafsma,Henk,Schaafsma,m,Kampen
Lijst 5 ChristenUnie,,12,M. van Daalen,Thijs,van Daalen,m,Zeewolde
Lijst 5 ChristenUnie,,13,R. Ferwerda,Rein,Ferwerda,m,Morra
Lijst 5 ChristenUnie,,14,D.G. Rots,Gerdien,Rots,v,Zwolle
Lijst 5 ChristenUnie,,15,J. Westert,Jan,Westert,m,Ommen
Lijst 5 ChristenUnie,,16,J.P. de Vries,Jurn,de Vries,m,Amersfoort
Lijst 5 ChristenUnie,,17,C.J. van Kranenburg,Kees,van Kranenburg,m,Driebergen-Rijsenburg
Lijst 5 ChristenUnie,,18,H.J. van Rhee,Henk,van Rhee,m,Nieuwer ter Aa
Lijst 5 ChristenUnie,,19,R.J. de Graaff,Robert,de Graaff,m,Amstelveen
Lijst 5 ChristenUnie,,20,H. Lamberink,Harry,Lamberink,m,Hattem
Lijst 5 ChristenUnie,,21,J.L. Evertse,Joop,Evertse,m,Hardinxveld-Giessendam
Lijst 5 ChristenUnie,,22,G.J. Bolks,Gerrit Jan,Bolks,m,Ommen
