title,description,position,full_name,first_name,last_name,gender,place
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,1,G. Holdijk,Gerrit,Holdijk,m,Uddel
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,2,P. Schalk,Peter,Schalk,m,Veenendaal
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,3,P.A. Zevenbergen,Peter,Zevenbergen,m,Alblasserdam
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,4,D.J.H. van Dijk,Diederik,van Dijk,m,Benthuizen
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,5,D. van Meeuwen,Dick,van Meeuwen,m,Sliedrecht
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,6,G.R.J. van Heukelom,George,van Heukelom,m,Nieuwerkerk
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,7,S. Stoop,Servaas,Stoop,m,Dirksland
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,8,M. Bogerd,Rien,Bogerd,m,Urk
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,9,D. Heemskerk,Dick,Heemskerk,m,Genemuiden
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,10,J.J. Luteijn,Jan,Luteijn,m,Werkendam
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,11,A.P. de Jong,Ton,de Jong,m,Noordeloos
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,12,K.J.G. Kats,Gert-Jan,Kats,m,Nieuwerkerk aan den IJssel
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,13,D. van Dijk,Dirk,van Dijk,m,Genemuiden
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,14,J. Hoekman,Jaap,Hoekman,m,’s-Gravenpolder
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,15,W. Fieret,Wim,Fieret,m,Woudenberg
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,16,A. Weggeman,Arnold,Weggeman,m,Capelle aan den IJssel
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,17,J.P. Tanis,Hans,Tanis,m,Sliedrecht
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,18,A. de Kruijf,Aart,de Kruijf,m,Barneveld
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,19,L.G.I. Barth,Leo,Barth,m,Ouderkerk aan den IJssel
Lijst 7 Staatkundig Gereformeerde Partij (SGP),,20,P.T. de Vries,Piter,de Vries,m,Veenwouden
