title,description,position,full_name,first_name,last_name,gender,place
Lijst 10 - Partij voor de Dieren,,1,M.L. Thieme,Marianne,Thieme,v,Maarssen
Lijst 10 - Partij voor de Dieren,,2,E. Ouwehand,Esther,Ouwehand,v,Leiden
Lijst 10 - Partij voor de Dieren,,3,F.P. Wassenberg,Frank,Wassenberg,m,Geleen
Lijst 10 - Partij voor de Dieren,,4,A.A.H. Hazekamp,Anja,Hazekamp,v,Alteveer
Lijst 10 - Partij voor de Dieren,,5,J.F.W. van Lammeren,Johnas,van Lammeren,m,Amsterdam
Lijst 10 - Partij voor de Dieren,,6,A.E. van Liere,Bram,van Liere,m,Haarlem
Lijst 10 - Partij voor de Dieren,,7,B.E.J.M. Verstappen,Birgit,Verstappen,v,Hilvarenbeek
Lijst 10 - Partij voor de Dieren,,8,G.J. Kelder,Gerjan,Kelder,m,Groningen
Lijst 10 - Partij voor de Dieren,,9,L.R. van der Veer,Luuk,van der Veer,m,Apeldoorn
Lijst 10 - Partij voor de Dieren,,10,D.W. van Liere,Diederik,van Liere,m,Assen
Lijst 10 - Partij voor de Dieren,,11,I. Been,Ida,Been,v,Weert
Lijst 10 - Partij voor de Dieren,,12,A.C. Cornelisse,Corinne,Cornelisse,v,Haarlem
Lijst 10 - Partij voor de Dieren,,13,T.A.O. Janssens,Trees,Janssens,v,Middelburg
Lijst 10 - Partij voor de Dieren,,14,A.M.E. van Gelder,Annemarie,van Gelder,v,Makkinga
Lijst 10 - Partij voor de Dieren,,15,S.H.D. Voss,Harry,Voss,m,Apeldoorn
Lijst 10 - Partij voor de Dieren,,16,M.J.E. de Groot,Marieke,de Groot,v,'s-Gravenhage
Lijst 10 - Partij voor de Dieren,,17,F. van Leeuwen,Floriske,van Leeuwen,v,Wyler (DE)
Lijst 10 - Partij voor de Dieren,,18,A.J. Dekker,Ton,Dekker,m,Heiloo
Lijst 10 - Partij voor de Dieren,,19,E.B. Eskens,Erno,Eskens,m,Amsterdam
Lijst 10 - Partij voor de Dieren,,20,P. Moleman,Pablo,Moleman,m,Amsterdam
Lijst 10 - Partij voor de Dieren,,21,M.C. Bax,Melissa,Bax,v,Almere
Lijst 10 - Partij voor de Dieren,,22,J. Ramaan,Ingrid,Ramaan,v,Tilburg
Lijst 10 - Partij voor de Dieren,,23,L.M.C. Straver,Laura,Straver,v,Middelburg
Lijst 10 - Partij voor de Dieren,,24,E.J.G. de Jong,Janet,de Jong,v,Zeewolde
Lijst 10 - Partij voor de Dieren,,25,J.P. Cruiming,Jan Peter,Cruiming,m,Groningen
