title,description,position,full_name,first_name,last_name,gender,place
Lijst 16 - 50PLUS,,1,H.C.M. Krol,Henk,Krol,,Eindhoven
Lijst 16 - 50PLUS,,2,N.P.M. Klein,Norbert,Klein,,Hoevelaken
Lijst 16 - 50PLUS,,3,M.H.H. Baay-Timmerman,Martine,Baay-Timmerman,,Huizen
Lijst 16 - 50PLUS,,4,W. Herrebrugh,Willem,Herrebrugh,,Lelystad
Lijst 16 - 50PLUS,,5,W.A.A.M. van Overveld,Wim,van Overveld,,Oudenbosch
Lijst 16 - 50PLUS,,6,K.L.R. Ho Ten Soeng,Roy,Ho Ten Soeng,,Venhuizen
Lijst 16 - 50PLUS,,7,M.W.E. van de Griendt,Monique,van de Griendt,,Amsterdam
Lijst 16 - 50PLUS,,8,H. Siepel,Harry,Siepel,,Emmen
Lijst 16 - 50PLUS,,9,H. Lamberts,Harry,Lamberts,,Leeuwarden
Lijst 16 - 50PLUS,,10,W.M.M. Hoek,Mieke,Hoek,,Vreeland
Lijst 16 - 50PLUS,,11,A. Woldinga,Astrid,Woldinga,,Zuidlaren
Lijst 16 - 50PLUS,,12,J.W.A. Struijlaard,John,Struijlaard,,Rotterdam
Lijst 16 - 50PLUS,,13,R. Hompe,Rob,Hompe,,Heel
Lijst 16 - 50PLUS,,14,G.T. Karmelk-Brom,Gerda,Karmelk-Brom,,Stadskanaal
Lijst 16 - 50PLUS,,15,W. Willemse,Willem,Willemse,,Vlissingen
Lijst 16 - 50PLUS,,16,A.J.P.F. de Caluwe,Jeannette,de Caluwe,,Deventer
Lijst 16 - 50PLUS,,17,C.M.I. van de Molengraft,Kees,van de Molengraft,,Leunen
Lijst 16 - 50PLUS,,18,G. Brandt Corstius,Guido,Brandt Corstius,,Soest
Lijst 16 - 50PLUS,,19,J.D. van Arkel,Jan-Dirk,van Arkel,,Son en Breugel
Lijst 16 - 50PLUS,,20,W. van Soest,Wil,van Soest,,Amsterdam
Lijst 16 - 50PLUS,,21,F.E. Colnot,Frits,Colnot,,Blijham
Lijst 16 - 50PLUS,,22,P. Pont,Peter,Pont,,Delft
Lijst 16 - 50PLUS,,23,A.I.M. Tax-Philippi,Lidie,Tax-Philippi,,Helchteren (BE)
Lijst 16 - 50PLUS,,24,H.J.C. Schouw,Dick,Schouw,,'s-Hertogenbosch
Lijst 16 - 50PLUS,,25,S.M. Erba,Stefano,Erba,,Amsterdam
Lijst 16 - 50PLUS,,26,P. van 't Wout,Piet,van 't Wout,,Wierden
Lijst 16 - 50PLUS,,27,H. de Groot,Harry,de Groot,,Rotterdam
Lijst 16 - 50PLUS,,28,P.A. Prins,Peter,Prins,,Diemen
Lijst 16 - 50PLUS,,29,H. Oosterveer,Horst,Oosterveer,,Waalre
Lijst 16 - 50PLUS,,30,C.J. Bakker,Chris,Bakker,,Uithuizen
Lijst 16 - 50PLUS,,31,F. Dor,Frans,Dor,,Rotterdam
Lijst 16 - 50PLUS,,32,T. Luiting,Ton,Luiting,,Hilversum
Lijst 16 - 50PLUS,,33,H.J. ten Cate,Hylke,ten Cate,,Haarlem
Lijst 16 - 50PLUS,,34,J.G. Nagel,Jan,Nagel,,Hilversum
