title,description,position,full_name,first_name,last_name,gender,place
Lijst 5 - SP (Socialistische Partij),,1,E.G.M. Roemer,Emile,Roemer,m,Sambeek
Lijst 5 - SP (Socialistische Partij),,2,R.M. Leijten,Renske,Leijten,v,Haarlem
Lijst 5 - SP (Socialistische Partij),,3,A.A.G.M. van Raak,Ronald,van Raak,m,Amsterdam
Lijst 5 - SP (Socialistische Partij),,4,H. van Bommel,Harry,van Bommel,m,Diemen
Lijst 5 - SP (Socialistische Partij),,5,J.M.A.M. de Wit,Jan,de Wit,m,Heerlen
Lijst 5 - SP (Socialistische Partij),,6,S. Karabulut,Sadet,Karabulut,v,Amsterdam
Lijst 5 - SP (Socialistische Partij),,7,S.M.J.G. Gesthuizen,Sharon,Gesthuizen,v,'s-Gravenhage
Lijst 5 - SP (Socialistische Partij),,8,J.J. van Dijk,Jasper,van Dijk,m,Amsterdam
Lijst 5 - SP (Socialistische Partij),,9,P. Ulenbelt,Paul,Ulenbelt,m,Leiden
Lijst 5 - SP (Socialistische Partij),,10,H.P.J. van Gerven,Henk,van Gerven,m,Oss
Lijst 5 - SP (Socialistische Partij),,11,M. Smits,Manja,Smits,v,'s-Gravenhage
Lijst 5 - SP (Socialistische Partij),,12,P.F.C. Jansen,Paulus,Jansen,m,Utrecht
Lijst 5 - SP (Socialistische Partij),,13,F. Bashir,Farshad,Bashir,m,Zoetermeer
Lijst 5 - SP (Socialistische Partij),,14,C.J.E. Kooiman,Nine,Kooiman,v,'s-Gravenhage
Lijst 5 - SP (Socialistische Partij),,15,A.Z. Merkies,Arnold,Merkies,m,Amsterdam
Lijst 5 - SP (Socialistische Partij),,16,E.M.A. Smaling,Eric,Smaling,m,Weesp
Lijst 5 - SP (Socialistische Partij),,17,M. van Nispen,Michiel,van Nispen,m,Breda
Lijst 5 - SP (Socialistische Partij),,18,T.E. Siderius,Tjitske,Siderius,v,Zwolle
Lijst 5 - SP (Socialistische Partij),,19,L.P.M. de Kleijn,Leo,de Kleijn,m,Rotterdam
Lijst 5 - SP (Socialistische Partij),,20,I. Teuling,Ike,Teuling,v,Rotterdam
Lijst 5 - SP (Socialistische Partij),,21,N.M. van Gemert,Nicole,van Gemert,v,Utrecht
Lijst 5 - SP (Socialistische Partij),,22,H.A.J.M. Swinkels,Henri,Swinkels,m,Vught
Lijst 5 - SP (Socialistische Partij),,23,M.M. van der Pligt,Maureen,van der Pligt,v,Amsterdam
Lijst 5 - SP (Socialistische Partij),,24,H.P.M. Hijink,Maarten,Hijink,m,Utrecht
Lijst 5 - SP (Socialistische Partij),,25,N.T. Bakker,Tiers,Bakker,m,Amsterdam
Lijst 5 - SP (Socialistische Partij),,26,E. de Vries,Erik,de Vries,m,Helmond
Lijst 5 - SP (Socialistische Partij),,27,D.H. de Wit,Daniël,de Wit,m,'s-Gravenhage
Lijst 5 - SP (Socialistische Partij),,28,A.M.T. Wezel,Anneke,Wezel,v,Amsterdam
Lijst 5 - SP (Socialistische Partij),,29,T.H.C. Coppus,Thijs,Coppus,m,Horst
Lijst 5 - SP (Socialistische Partij),,30,M.P. Meijer,Meta,Meijer,v,Amsterdam
