title,description,position,full_name,first_name,last_name,gender,place
Lijst 6 - Democraten 66 (D66),,1,A. Pechtold,Alexander,Pechtold,m,Wageningen
Lijst 6 - Democraten 66 (D66),,2,S. van Veldhoven-van der Meer,Stientje,van Veldhoven-van der Meer,v,Rijswijk
Lijst 6 - Democraten 66 (D66),,3,W. Koolmees,Wouter,Koolmees,m,Rotterdam
Lijst 6 - Democraten 66 (D66),,4,K. Verhoeven,Kees,Verhoeven,m,Amersfoort
Lijst 6 - Democraten 66 (D66),,5,V.A. Bergkamp,Vera,Bergkamp,v,Amsterdam
Lijst 6 - Democraten 66 (D66),,6,A.G. Schouw,Gerard,Schouw,m,Dordrecht
Lijst 6 - Democraten 66 (D66),,7,P.H. van Meenen,Paul,van Meenen,m,Leiden
Lijst 6 - Democraten 66 (D66),,8,S.P.R.A. van Weyenberg,Steven,van Weyenberg,m,'s-Gravenhage
Lijst 6 - Democraten 66 (D66),,9,P.A. Dijkstra,Pia,Dijkstra,v,Utrecht
Lijst 6 - Democraten 66 (D66),,10,M.A. Berndsen-Jansen,Magda,Berndsen-Jansen,v,Burdaard
Lijst 6 - Democraten 66 (D66),,11,S.W. Sjoerdsma,Sjoerd Wiemer,Sjoerdsma,m,Jeruzalem (IL)
Lijst 6 - Democraten 66 (D66),,12,W. Hachchi,Wassila,Hachchi,v,Breda
Lijst 6 - Democraten 66 (D66),,13,F. Koşer-Kaya,Fatma,Koşer-Kaya,v,'s-Gravenhage
Lijst 6 - Democraten 66 (D66),,14,J.C.M. Swinkels,Judith,Swinkels,v,Overveen
Lijst 6 - Democraten 66 (D66),,15,S. Belhaj,Salima,Belhaj,v,Rotterdam
Lijst 6 - Democraten 66 (D66),,16,M. Groothuizen,Maarten,Groothuizen,m,Nijmegen
Lijst 6 - Democraten 66 (D66),,17,M. Verkoulen,Michiel,Verkoulen,m,Helmond
Lijst 6 - Democraten 66 (D66),,18,F.M. Dingemans,Femke,Dingemans,v,Kaatsheuvel
Lijst 6 - Democraten 66 (D66),,19,T. Monasso,Ton,Monasso,m,Voorburg
Lijst 6 - Democraten 66 (D66),,20,J.C.M. Versteeg,Jacqueline,Versteeg,v,Utrecht
Lijst 6 - Democraten 66 (D66),,21,P.J.L.M. de Beer,Paul,de Beer,m,Breda
Lijst 6 - Democraten 66 (D66),,22,T. van der Windt,Thessa,van der Windt,v,Haarlem
Lijst 6 - Democraten 66 (D66),,23,B.L. Vink,Bart,Vink,m,Amsterdam
Lijst 6 - Democraten 66 (D66),,24,G. Çoban,Gökhan,Çoban,m,Veenendaal
Lijst 6 - Democraten 66 (D66),,25,E.J. Keij,Eelco,Keij,m,New York (US)
Lijst 6 - Democraten 66 (D66),,26,G.J.P.M. Corten,Guido,Corten,m,Geleen
Lijst 6 - Democraten 66 (D66),,27,F.C. van Oirschot,Frank,van Oirschot,m,Heemstede
Lijst 6 - Democraten 66 (D66),,28,S. Salim,Sina,Salim,m,Ede
Lijst 6 - Democraten 66 (D66),,29,J.D. de Vries,Doede,de Vries,m,Groningen
Lijst 6 - Democraten 66 (D66),,30,A.G.W. Groen,Anneke,Groen,v,Amsterdam
Lijst 6 - Democraten 66 (D66),,31,H.M. Steenhoff,Hélène,Steenhoff,v,Haarlem
Lijst 6 - Democraten 66 (D66),,32,T.C. Walder,Thomas,Walder,m,Deventer
Lijst 6 - Democraten 66 (D66),,33,B. van Grevenhof,Bart,van Grevenhof,m,Amsterdam
Lijst 6 - Democraten 66 (D66),,34,P.W.L. de Kuijer,Pim,de Kuijer,m,Amsterdam
Lijst 6 - Democraten 66 (D66),,35,C.J. van Peski,Caecilia,van Peski,v,Tilburg
Lijst 6 - Democraten 66 (D66),,36,S.T. Verschoor,Sabine,Verschoor,v,Leiden
Lijst 6 - Democraten 66 (D66),,37,M.A. Rijsberman,Michiel,Rijsberman,m,Almere
Lijst 6 - Democraten 66 (D66),,38,J.C. Koomen,Joost,Koomen,m,Voorhout
Lijst 6 - Democraten 66 (D66),,39,B.T. Winkel,Bastiaan,Winkel,m,'s-Gravenhage
Lijst 6 - Democraten 66 (D66),,40,D.C. Leitner,Dilia,Leitner,v,Haarlem
Lijst 6 - Democraten 66 (D66),,41,R.J. van Asten,Robert,van Asten,m,'s-Gravenhage
Lijst 6 - Democraten 66 (D66),,42,E. Venema,Ellenus,Venema,m,Doetinchem
Lijst 6 - Democraten 66 (D66),,43,J.C. Visser,Joris,Visser,m,Amsterdam
Lijst 6 - Democraten 66 (D66),,44,H. Halsema,Huub,Halsema,m,Delft
Lijst 6 - Democraten 66 (D66),,45,G.J. van Loef,Gijs,van Loef,m,Zeist
Lijst 6 - Democraten 66 (D66),,46,C.W. de Zeeuw,Kees,de Zeeuw,m,Waalre
Lijst 6 - Democraten 66 (D66),,47,L. Verspuij,Laurens,Verspuij,m,Tiel
Lijst 6 - Democraten 66 (D66),,48,P.F. de Groene,Pieter,de Groene,m,Maarssen
Lijst 6 - Democraten 66 (D66),,49,L.J. Carton,Linda,Carton,v,Oosterbeek
Lijst 6 - Democraten 66 (D66),,50,J.C. Gieske-Mastenbroek,Rineke,Gieske-Mastenbroek,v,Almelo
