title,description,position,full_name,first_name,last_name,gender,place
Lijst 8 - ChristenUnie,,1,A. Slob,Arie,Slob,m,Zwolle
Lijst 8 - ChristenUnie,,2,J.S. Voordewind,Joël,Voordewind,m,Amsterdam
Lijst 8 - ChristenUnie,,3,C.J. Schouten,Carola,Schouten,v,Rotterdam
Lijst 8 - ChristenUnie,,4,G.M. Segers,Gert-Jan,Segers,m,Hoogland
Lijst 8 - ChristenUnie,,5,R.K. Dik-Faber,Carla,Dik-Faber,v,Veenendaal
Lijst 8 - ChristenUnie,,6,E.E.W. Bruins,Eppo,Bruins,m,Alphen aan den Rijn
Lijst 8 - ChristenUnie,,7,H. Wegter,Herman,Wegter,m,Amersfoort
Lijst 8 - ChristenUnie,,8,A. Haga,Anja,Haga,v,Leeuwarden
Lijst 8 - ChristenUnie,,9,I.S. Balootje,Ixora,Balootje,v,Rotterdam
Lijst 8 - ChristenUnie,,10,A. Kleijer,Ard,Kleijer,m,Putten
Lijst 8 - ChristenUnie,,11,J. de Wit,Jan,de Wit,m,Hilversum
Lijst 8 - ChristenUnie,,12,M.A. Vonk,Martine,Vonk,v,Vianen
Lijst 8 - ChristenUnie,,13,B.D. Tijhof,Bert,Tijhof,m,Rijssen
Lijst 8 - ChristenUnie,,14,P. Blokhuis,Paul,Blokhuis,m,Apeldoorn
Lijst 8 - ChristenUnie,,15,A.B.M. van Kempen,Arnout,van Kempen,m,Sint-Michielsgestel
Lijst 8 - ChristenUnie,,16,J.A. Koops-Scheele,Jacqueline,Koops-Scheele,v,Amstelveen
Lijst 8 - ChristenUnie,,17,C.P. van Schayck,Onno,van Schayck,m,Maastricht
Lijst 8 - ChristenUnie,,18,H.C. Scherff,Hugo,Scherff,m,Amsterdam
Lijst 8 - ChristenUnie,,19,H.A. Vlieg-Kempe,Harmke,Vlieg-Kempe,v,Assen
Lijst 8 - ChristenUnie,,20,B. Visser,Ben,Visser,m,Urk
Lijst 8 - ChristenUnie,,21,H.H.J. Veldhuizen,Hugo,Veldhuizen,m,Amsterdam
Lijst 8 - ChristenUnie,,22,S.J.F. van der Graaf,Stieneke,van der Graaf,v,Groningen
Lijst 8 - ChristenUnie,,23,H.J. Vreugdenhil,Hermen,Vreugdenhil,m,Nieuwendijk
Lijst 8 - ChristenUnie,,24,P. Adema,Piet,Adema,m,Drachten
Lijst 8 - ChristenUnie,,25,A.P. Beekman,Arjan,Beekman,m,Krabbendijke
Lijst 8 - ChristenUnie,,26,J.C.R. van Houdt,Jurgen,van Houdt,m,Enschede
Lijst 8 - ChristenUnie,,27,R. van Mulligen,Remco,van Mulligen,m,Amersfoort
Lijst 8 - ChristenUnie,,28,H.A.C. Weigand-Timmer,Jet,Weigand-Timmer,v,Ermelo
Lijst 8 - ChristenUnie,,29,R.J. Koppelaar,Reinier,Koppelaar,m,Beijing (CN)
Lijst 8 - ChristenUnie,,30,J.M.J. Joosten-Leijendekker,Janny,Joosten-Leijendekker,v,Enschede
Lijst 8 - ChristenUnie,,31,M.H. Bikker,Mirjam,Bikker,v,Utrecht
Lijst 8 - ChristenUnie,,32,P. Plug,Pieter,Plug,m,Ede
Lijst 8 - ChristenUnie,,33,G. Koops,Bert,Koops,m,Bunschoten
Lijst 8 - ChristenUnie,,34,J.M. Schuurman,Martin,Schuurman,m,Nijkerk
Lijst 8 - ChristenUnie,,35,K. Harink,Klaas,Harink,m,Wirdum (Gn)
Lijst 8 - ChristenUnie,,36,R.A. van Hoffen,Reinier,van Hoffen,m,Ede
Lijst 8 - ChristenUnie,,37,R.A. de Rover,Ron,de Rover,m,Middelharnis
Lijst 8 - ChristenUnie,,38,M.J. Busstra,Marjolein,Busstra,v,Rotterdam
Lijst 8 - ChristenUnie,,39,S.J. Kennedy-Doornbos,Simone,Kennedy-Doornbos,v,Amersfoort
Lijst 8 - ChristenUnie,,40,A.J. Schaddelee,Arne,Schaddelee,m,Houten
Lijst 8 - ChristenUnie,,41,A. Oldenkamp,André,Oldenkamp,m,Warnsveld
Lijst 8 - ChristenUnie,,42,J.J. van Ginkel,Jaap,van Ginkel,m,'s-Gravenpolder
Lijst 8 - ChristenUnie,,43,B. Jaspers Faijer,Bart,Jaspers Faijer,m,Rouveen
Lijst 8 - ChristenUnie,,44,E.W. Anker,Ed,Anker,m,'s-Gravenhage
Lijst 8 - ChristenUnie,,45,J.A. Fröling-Kok,Jantien,Fröling-Kok,v,Hellevoetsluis
Lijst 8 - ChristenUnie,,46,F.J. Dommerholt,Freek,Dommerholt,m,Eindhoven
Lijst 8 - ChristenUnie,,47,F.C. Visser,Frank,Visser,m,Haarlem
Lijst 8 - ChristenUnie,,48,D.G. Schutte,Dick,Schutte,m,Urk
Lijst 8 - ChristenUnie,,49,O.E. Bottenbley,Orlando,Bottenbley,m,Drachten
Lijst 8 - ChristenUnie,,50,A. van der Veer,Arie,van der Veer,m,Zwolle
