title,description,position,full_name,first_name,last_name,gender,place
Lijst 13 De Groenen,,1,J.A.C. Verburg,Jolanda,Verburg,v,Beusichem
Lijst 13 De Groenen,,2,M.P. van Rijn,Mirjam,van Rijn,v,Amsterdam
Lijst 13 De Groenen,,3,J. Hendrickx,Judith,Hendrickx,v,'s-Hertogenbosch
Lijst 13 De Groenen,,4,K. Sakhel,Khaled,Sakhel,m,Amsterdam
Lijst 13 De Groenen,,5,O.H. ter Haar,Otto,ter Haar,m,Utrecht
Lijst 13 De Groenen,,6,G.J.F. Uunk,Gerben,Uunk,m,Ennis (IE)
Lijst 13 De Groenen,,7,P.J.M. Freriks,Paul,Freriks,m,Zevenaar
Lijst 13 De Groenen,,8,A.L. Schadee,Janneke,Schadee,v,Amsterdam
Lijst 13 De Groenen,,9,J.M. van Kessel,Jozef,van Kessel,m,Eindhoven
Lijst 13 De Groenen,,10,R. Doting,Rijndert,Doting,m,Amsterdam
Lijst 13 De Groenen,,11,G. van der Heijden,Gerero,van der Heijden,m,Eindhoven
Lijst 13 De Groenen,,12,R.A. Schönberger,Ronald,Schönberger,m,Amsterdam
