title,description,position,full_name,first_name,last_name,gender,place
Lijst 18 Partij voor de Dieren,,1,A.A.H. Hazekamp,Anja,Hazekamp,v,Alteveer
Lijst 18 Partij voor de Dieren,,2,A.C. Cornelisse,Corinne,Cornelisse,v,Haarlem
Lijst 18 Partij voor de Dieren,,3,F.P. Wassenberg,Frank,Wassenberg,m,Geleen
Lijst 18 Partij voor de Dieren,,4,L. van Raan,Lammert,van Raan,m,Amsterdam
Lijst 18 Partij voor de Dieren,,5,P. Moleman,Pablo,Moleman,m,Amstelveen
Lijst 18 Partij voor de Dieren,,6,L.R. van der Veer,Luuk,van der Veer,m,Apeldoorn
Lijst 18 Partij voor de Dieren,,7,D.A. de Man,Daniëlle,de Man,v,Amsterdam
Lijst 18 Partij voor de Dieren,,8,M.C. van der Wel,Marco,van der Wel,m,Rijsbergen
Lijst 18 Partij voor de Dieren,,9,G.J. Kelder,Gerjan,Kelder,m,Groningen
Lijst 18 Partij voor de Dieren,,10,C. Teunissen,Christine,Teunissen,v,'s-Gravenhage
Lijst 18 Partij voor de Dieren,,11,N.K. Koffeman,Niko,Koffeman,m,Vierhouten
Lijst 18 Partij voor de Dieren,,12,E. Ouwehand,Esther,Ouwehand,v,Leiden
Lijst 18 Partij voor de Dieren,,13,M.L. Thieme,Marianne,Thieme,v,Maarssen
Lijst 18 Partij voor de Dieren,,14,J.P. Cruiming,Jan Peter,Cruiming,m,Groningen
Lijst 18 Partij voor de Dieren,,15,A.H. Terstall,Eddy,Terstall,m,Amsterdam
Lijst 18 Partij voor de Dieren,,16,P. Nicolaï,Peter,Nicolaï,m,Amsterdam
Lijst 18 Partij voor de Dieren,,17,A. Postma,Annemarie,Postma,v,Oudehorne
Lijst 18 Partij voor de Dieren,,18,E.R. Engelen,Ewald,Engelen,m,Amsterdam
Lijst 18 Partij voor de Dieren,,19,G.P.P. Weijers,Guido,Weijers,m,Breda
Lijst 18 Partij voor de Dieren,,20,B. van Veen,Babette,van Veen,v,Soest
Lijst 18 Partij voor de Dieren,,21,J.G. Siebelink,Jan,Siebelink,m,Ede
Lijst 18 Partij voor de Dieren,,22,J.M.A. Biesheuvel,Maarten,Biesheuvel,m,Leiden
Lijst 18 Partij voor de Dieren,,23,A.F.T. van der Heijden,Adri,van der Heijden,m,Amsterdam
Lijst 18 Partij voor de Dieren,,24,M.F. van der Steen,Mensje,van der Steen,v,Amsterdam
Lijst 18 Partij voor de Dieren,,25,P.B. Cliteur,Paul,Cliteur,m,Amsterdam
Lijst 18 Partij voor de Dieren,,26,I.E. Newkirk,Ingrid,Newkirk,v,Norfolk (US)
Lijst 18 Partij voor de Dieren,,27,R.D. O'Hanlon,Redmond,O'Hanlon,m,Witney (UK)
