title,description,position,full_name,first_name,last_name,gender,place
Lijst 2 PVV (Partij voor de Vrijheid),,1,M.J.R.L. de Graaff,Marcel,de Graaff,m,Capelle aan den IJssel
Lijst 2 PVV (Partij voor de Vrijheid),,2,V. Maeijer,Vicky,Maeijer,v,Krimpen aan den IJssel
Lijst 2 PVV (Partij voor de Vrijheid),,3,O.F. Stuger,Olaf,Stuger,m,Bussum
Lijst 2 PVV (Partij voor de Vrijheid),,4,J.J.G. Jansen,Hans,Jansen,m,Amsterdam
Lijst 2 PVV (Partij voor de Vrijheid),,5,A.J. Zijlstra,Auke,Zijlstra,m,Ridderkerk
Lijst 2 PVV (Partij voor de Vrijheid),,6,A. Elissen,Andre,Elissen,m,'s-Gravenhage
Lijst 2 PVV (Partij voor de Vrijheid),,7,I.H.C. van den Besselaar,Ino,van den Besselaar,m,Utrecht
Lijst 2 PVV (Partij voor de Vrijheid),,8,A.J.M. van Kesteren,Ton,van Kesteren,m,Groningen
Lijst 2 PVV (Partij voor de Vrijheid),,9,W.R. Dille,Willie,Dille,v,'s-Gravenhage
Lijst 2 PVV (Partij voor de Vrijheid),,10,G. Wilders,Geert,Wilders,m,'s-Gravenhage
