title,description,position,full_name,first_name,last_name,gender,place
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,1,B. Eickhout,Bas,Eickhout,m,Utrecht
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,2,J. Sargentini,Judith,Sargentini,v,Amsterdam
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,3,M.T. Gijsbertsen,Mattias,Gijsbertsen,m,Groningen
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,4,L.I. Diks,Isabelle,Diks,v,Leeuwarden
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,5,L.D. de Araujo Cerqueira de Brito,Lara,de Araujo Cerqueira de Brito,v,Wageningen
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,6,G. Krabbendam,Gert-Jan,Krabbendam,m,Maastricht
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,7,D.A.A. Dertien,Daphne,Dertien,v,Enschede
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,8,J. Vergeer,Jeroni,Vergeer,v,Amsterdam
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,9,T. Smits,Truuske,Smits,v,Krakau (PL)
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,10,T.O.S. van de Ven,Toine,van de Ven,m,Vught
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,11,G. Tomruk-Kisi,Guliz,Tomruk-Kisi,v,Deventer
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,12,A. van den Brand,Arie,van den Brand,m,Spierdijk
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,13,M.H.A. Strik,Tineke,Strik,v,Oosterbeek
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,14,P.H.M. Smeulders,Paul,Smeulders,m,'s-Hertogenbosch
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,15,A.M.A. Pennarts-Pouw,Mariëtte,Pennarts-Pouw,v,Montfoort
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,16,J.G.W. Blom,Jasper,Blom,m,Amsterdam
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,17,M. Meijer,Marjolein,Meijer,v,Hilversum
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,18,H.A. Bellemakers,Huub,Bellemakers,m,Nijmegen
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,19,H.J. Grashoff,Rik,Grashoff,m,Delft
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,20,P.B.M. van Dijk,Nel,van Dijk,v,Almere
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,21,J.J. Lagendijk,Joost,Lagendijk,m,Istanbul (TR)
Lijst 6 GROENLINKS,Gecombineerd met P.v.d.A./Europese Sociaaldemocraten,22,V.R. Bijlo,Vincent,Bijlo,m,Bunnik
