title,description,position,full_name,first_name,last_name,gender,place
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,1,P. van Dalen,Peter,van Dalen,m,Houten
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,2,B. Belder,Bas,Belder,m,Apeldoorn
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,3,R.W. van Eijle,Ruud,van Eijle,m,Ermelo
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,4,S.J.F. van der Graaf,Stieneke,van der Graaf,v,Groningen
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,5,H.J.A. Ruissen,Bert-Jan,Ruissen,m,Krimpen aan den IJssel
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,6,L.E. Meijer,Leon,Meijer,m,Ede
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,7,H. van den Berge,Henk,van den Berge,m,Apeldoorn
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,8,J.M. van der Schee-van de Kamp,Joanne,van der Schee-van de Kamp,v,Amersfoort
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,9,R. Broekema,Rinze,Broekema,m,Utrecht
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,10,D.J.H. van Dijk,Diederik,van Dijk,m,Benthuizen
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,11,M.J. Niemeijer-Schaap,Maaike,Niemeijer-Schaap,v,Utrecht
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,12,C. van Burg,Kees,van Burg,m,Spui
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,13,B. Beldman,Benjamin,Beldman,m,Amersfoort
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,14,M.K. Knevel,Mark,Knevel,m,Wassenaar
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,15,E.J. Brouwer,Evert-Jan,Brouwer,m,Gouda
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,16,T.A.A. Minnema,Auke,Minnema,m,Zwolle
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,17,R.A.C. Donk,Richard,Donk,m,Beekbergen
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,18,A.G.A. Bouwman,Andries,Bouwman,m,Leeuwarden
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,19,J. Pleijsier,Jochem,Pleijsier,m,Houten
Lijst 8 ChristenUnie-SGP,Gecombineerd met CDA - Europese Volkspartij,20,J.P. Tanis,Hans,Tanis,m,Sliedrecht
