title,description,position,full_name,first_name,last_name,gender,place
Amsterdam Lijst 12 De Groenen,,1,R.A. Schönberger,Ronald,Schönberger,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,2,M. Jabrane,Mouna,Jabrane,v,Amsterdam
Amsterdam Lijst 12 De Groenen,,3,M.P. van Rijn,Mirjam,van Rijn,v,Amsterdam
Amsterdam Lijst 12 De Groenen,,4,K. Sakhel,Khaled,Sakhel,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,5,M.P. van de Loo,Bayla,van de Loo,v,Amsterdam
Amsterdam Lijst 12 De Groenen,,6,H. Mijling,Rakesh,Mijling,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,7,E.H. Kamp,Elly,Kamp,v,Amsterdam
Amsterdam Lijst 12 De Groenen,,8,N. El Hajoui,Nabille,El Hajoui,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,9,T.G.H. van Hagen,Theo,van Hagen,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,10,IJ.H. Vonk,Ymie,Vonk,v,Amsterdam
Amsterdam Lijst 12 De Groenen,,11,O.H. ter Haar,Otto,ter Haar,m,Utrecht
Amsterdam Lijst 12 De Groenen,,12,R. Doting,Rijndert,Doting,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,13,T. Blom,Theodoor,Blom,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,14,T.E. Vrielink,Tamara,Vrielink,v,Amsterdam
Amsterdam Lijst 12 De Groenen,,15,M.J. van den Dool,Max,van den Dool,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,16,R.C. Bolweg,Rob,Bolweg,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,17,R. Duister,Ruben,Duister,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,18,R.W. Visser,Walter,Visser,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,19,A.A. Boelhouwer,Arthur,Boelhouwer,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,20,D. Blik,David,Blik,m,Amsterdam
Amsterdam Lijst 12 De Groenen,,21,H. Werkman,Hero,Werkman,m,Amsterdam
