title,description,position,full_name,first_name,last_name,gender,place
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,1,L.M.H. Schimmelpennink,Luud,Schimmelpennink,m,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,2,H.J. Roeten,Helen,Roeten,v,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,3,C.M. de Bree,Conny,de Bree,v,Hoofddorp
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,4,K. Kuitert,Kyra,Kuitert,v,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,5,E.P. van den Muijzenberg,Erik,van den Muijzenberg,m,Parijs (FR)
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,6,J.C. Ooijens,Catharina,Ooijens,v,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,7,I. van de Weetering,Irene,van de Weetering,v,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,8,H.P. de Haan,Hein,de Haan,m,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,9,I. de Keijzer,Indy,de Keijzer,v,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,10,F.J. Colon,Ferry,Colon,m,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,11,T.S.D. Pater,Tyrone,Pater,m,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,12,C.J.M. van Egmond,Ellie,van Egmond,v,Amstelveen
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,13,J. Roorda,Jan,Roorda,m,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,14,L.P. Roos,Lucienne,Roos,v,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,15,J.M. van 't Veen,Jeroen,van 't Veen,m,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,16,A. Besuch,Angela,Besuch,v,Amsterdam
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,17,J.J. Smit-Boerma,Anneke,Smit-Boerma,v,Diemen
Amsterdam Lijst 13 Ouderen Partij Amsterdam (OPA),,18,J.H. Leever,Jeff,Leever,m,Wieringerwerf
