title,description,position,full_name,first_name,last_name,gender,place
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,1,E. van der Burg,Eric,van der Burg,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,2,M.H. Ruigrok,Marja,Ruigrok,v,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,3,D.A. van der Ree,Daniël,van der Ree,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,4,D. Yeṣilgöz-Zegerius,Dilan,Yeṣilgöz-Zegerius,v,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,5,M.C.G. Poot,Marianne,Poot,v,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,6,R.K. Torn,Rik,Torn,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,7,W.L. Toonk,Werner,Toonk,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,8,T.W. Dijk,Tjakko,Dijk,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,9,S. Bouchibti,Samira,Bouchibti,v,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,10,B.P. Benjamin,Brian,Benjamin,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,11,K.W.T. Berghuijs,Thomas,Berghuijs,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,12,S.J.W. de Bruijn,Stefan,de Bruijn,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,13,F.M. Lagerveld,Femke,Lagerveld,v,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,14,R. de Bruin,Rob,de Bruin,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,15,E. Meyer,Eddy,Meyer,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,16,D.P. van Dijk,Pepijn,van Dijk,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,17,P.A.M. Hoog,Ariane,Hoog,v,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,18,M. Boer,Martijn,Boer,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,19,K.J. Terwal,Klaas-Jeroen,Terwal,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,20,R.G. Went,Reimond,Went,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,21,H. Naoum Nehme,Hala,Naoum Nehme,v,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,22,G.W. Jongma,Gijs,Jongma,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,23,D.A. van der Baan,Alex,van der Baan,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,24,R.L.R. van Kraaij,Raphaël,van Kraaij,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,25,M.N.J.L. Tromp,Michèl,Tromp,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,26,J.H.J. van Doorn,John,van Doorn,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,27,E. Groot,Elisabeth,Groot,v,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,28,O. Aerden,Onno,Aerden,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,29,M.C.N. Mokveld,Marcel,Mokveld,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,30,M.J.E. van Bijsterveld,Monique,van Bijsterveld,v,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,31,J.E. de Geus,Joep,de Geus,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,32,N. Laiti,Nadia,Laiti,v,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,33,K.T. Meijer,Karsten,Meijer,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,34,A.L. Miedema,Alexander,Miedema,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,35,P.C. Eenhoorn,Cees,Eenhoorn,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,36,J.C. Hellendoorn,Jan Coen,Hellendoorn,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,37,A. Can,Ahmet,Can,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,38,N. Lamme,Nils,Lamme,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,39,D.R. Meis,Daniël,Meis,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,40,J.B. Goring,John,Goring,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,41,A.P. IJkelenstam,Alexander,IJkelenstam,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,42,R.G.M. van Voorst tot Voorst,Roderic,van Voorst tot Voorst,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,43,M.G.K. Kreuger,Marco,Kreuger,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,44,E.R. Jänsch,Emile,Jänsch,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,45,P.P.J. Slettenhaar,Paul,Slettenhaar,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,46,R.E. Flos,Robert,Flos,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,47,J.P. Eisenmann,Jaïr,Eisenmann,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,48,E. Asscher,Edward,Asscher,m,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,49,D.G.M. de Grave-Verkerk,Dorienke,de Grave-Verkerk,v,Amsterdam
Amsterdam Lijst 2 VVD,gecombineerd met lijst 4,50,E.D. Wiebes,Eric,Wiebes,m,Amsterdam
