title,description,position,full_name,first_name,last_name,gender,place
Amsterdam Lijst 5 SP (Socialistische Partij),,1,L.G.F. Ivens,Laurens,Ivens,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,2,M.M. van der Pligt,Maureen,van der Pligt,v,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,3,J.P. Kwint,Peter,Kwint,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,4,D.W.S. Peters,Daniël,Peters,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,5,E.A. Flentge,Erik,Flentge,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,6,R. Alberts-Oosterbaan,Remine,Alberts-Oosterbaan,v,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,7,N.T. Bakker,Tiers,Bakker,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,8,E. Bobeldijk,Erik,Bobeldijk,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,9,P.J.M. Duijndam,Nelly,Duijndam,v,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,10,D. Lividikou,Dessie,Lividikou,v,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,11,R. Boersbroek,Ramon,Boersbroek,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,12,G. van der Veen,Gerben,van der Veen,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,13,G. Ritsema,Geert,Ritsema,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,14,C. Schaeffer,Chris,Schaeffer,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,15,J. Yahyaoui,Jamila,Yahyaoui,v,Utrecht
Amsterdam Lijst 5 SP (Socialistische Partij),,16,B.P. Uitdenbogaart,Bart,Uitdenbogaart,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,17,F. Reudler Talsma,Femke,Reudler Talsma,v,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,18,E. Eikenaar,Eelco,Eikenaar,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,19,M.C. Busz,Machteld,Busz,v,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,20,C.J.E.M. Hiep,Kees,Hiep,m,Amsterdam
Amsterdam Lijst 5 SP (Socialistische Partij),,21,D. Brink,Dic,Brink,m,Amsterdam
