title,description,position,full_name,first_name,last_name,gender,place
Lijst 11 STERK LOKAAL,,1,A.E. Niebuir-van der Ham,Aimée,Niebuir-van der Ham,v,Klijndijk
Lijst 11 STERK LOKAAL,,2,H.J. Kroeze,Harrie,Kroeze,m,Emmen
Lijst 11 STERK LOKAAL,,3,D. Oosterveen,Douwe,Oosterveen,m,Zuidwolde
Lijst 11 STERK LOKAAL,,4,W. Barkhuis,Wim,Barkhuis,m,Huis ter Heide
Lijst 11 STERK LOKAAL,,5,C.M.V. Boonzaaijer,Kees,Boonzaaijer,m,Assen
Lijst 11 STERK LOKAAL,,6,S. Slijepčević,Sandro,Slijepčević,m,Emmen
Lijst 11 STERK LOKAAL,,7,M.A. Pathuis,Miranda,Pathuis,v,Nieuw-Buinen
Lijst 11 STERK LOKAAL,,8,B. Okken,Be,Okken,m,Elim
Lijst 11 STERK LOKAAL,,9,R. Brands,Roelof,Brands,m,Rolde
Lijst 11 STERK LOKAAL,,10,M. Sliekers,Marinus,Sliekers,m,Schoonebeek
Lijst 11 STERK LOKAAL,,11,H. Bolk,Henk,Bolk,m,2e Exloërmond
Lijst 11 STERK LOKAAL,,12,A.V. Solisa,Noes,Solisa,m,Assen
Lijst 11 STERK LOKAAL,,13,L.J. van Vliet,Arjan,van Vliet,m,Drijber
Lijst 11 STERK LOKAAL,,14,A.K. Velzing,Karien,Velzing,v,Klazienaveen
Lijst 11 STERK LOKAAL,,15,J. Prent,Jan,Prent,m,Nijeveen
Lijst 11 STERK LOKAAL,,16,J. van der Sleen,Jan,van der Sleen,m,Nieuwlande
Lijst 11 STERK LOKAAL,,17,L. Reinders,Bertus,Reinders,m,Grolloo
Lijst 11 STERK LOKAAL,,18,J. Brink,Jan,Brink,m,Peize
Lijst 11 STERK LOKAAL,,19,B. Vrielink-Linthorst,Betty,Vrielink-Linthorst,v,Alteveer
Lijst 11 STERK LOKAAL,,20,D.E. de Vries,Eddy,de Vries,m,Emmen
Lijst 11 STERK LOKAAL,,21,G. Hempen-Prent,Gerrie,Hempen-Prent,v,Echten
Lijst 11 STERK LOKAAL,,22,H. Greven,Harm,Greven,m,2e Exloërmond
Lijst 11 STERK LOKAAL,,23,H.A. Bos,Henk,Bos,m,Emmen
Lijst 11 STERK LOKAAL,,24,S.A.G. Schiphouwer,Sander,Schiphouwer,m,Emmer-Compascuum
Lijst 11 STERK LOKAAL,,25,G.W. Slomp,Erwin,Slomp,m,Hollandscheveld
Lijst 11 STERK LOKAAL,,26,M.H. Prins,Marinus,Prins,m,Fluitenberg
Lijst 11 STERK LOKAAL,,27,R. Woltman,Roelof,Woltman,m,Emmer-Compascuum
Lijst 11 STERK LOKAAL,,28,G. Jansen,Gina,Jansen,v,Odoorn
Lijst 11 STERK LOKAAL,,29,A.A. Dik,André,Dik,m,Assen
Lijst 11 STERK LOKAAL,,30,D.J. Schuldink,Dik,Schuldink,m,Hoogeveen
Lijst 11 STERK LOKAAL,,31,H.G.L Paters,Harmieke,Paters,v,Hoogeveen
Lijst 11 STERK LOKAAL,,32,A.J. de Ruiter-Dekker,Lia,de Ruiter-Dekker,v,Assen
Lijst 11 STERK LOKAAL,,33,E. van Hillo-Wolting,Evelien,van Hillo-Wolting,v,Dalen
