title,description,position,full_name,first_name,last_name,gender,place
Lijst 12 Senioren Belang Noord,,1,B. Hoeksema,Bé,Hoeksema,m,Emmen
Lijst 12 Senioren Belang Noord,,2,M. Sanders,Marjan,Sanders,v,Emmen
Lijst 12 Senioren Belang Noord,,3,J. Grethe,Johan,Grethe,m,Emmen
Lijst 12 Senioren Belang Noord,,4,A. van Dijken,Albert,van Dijken,m,Emmen
Lijst 12 Senioren Belang Noord,,5,H. Kruise,Henk,Kruise,m,Emmen
Lijst 12 Senioren Belang Noord,,6,H.E.H. Wolf,Henk,Wolf,m,Bunne
Lijst 12 Senioren Belang Noord,,7,I.C.D. Roelfzema,Irene,Roelfzema,v,Meppel
Lijst 12 Senioren Belang Noord,,8,J.C. Geers,Hans,Geers,m,Bovensmilde
Lijst 12 Senioren Belang Noord,,9,A.A. Pepping,Bert,Pepping,m,Emmen
Lijst 12 Senioren Belang Noord,,10,A.M. Burgert,Annemieke,Burgert,v,Emmen
Lijst 12 Senioren Belang Noord,,11,J.K.A. Reilman,Joop,Reilman,m,Emmen
Lijst 12 Senioren Belang Noord,,12,E.K. Wijngaard,Evert,Wijngaard,m,Emmen
