title,description,position,full_name,first_name,last_name,gender,place
Lijst 5 SP (Socialistische Partij),,1,W.L.H. Moinat,Wim,Moinat,m,Zwartemeer
Lijst 5 SP (Socialistische Partij),,2,J. Vester,Ko,Vester,m,Schipborg
Lijst 5 SP (Socialistische Partij),,3,L.A. Smits,Louise,Smits,v,Meppel
Lijst 5 SP (Socialistische Partij),,4,G.J. Dikkers,Greetje,Dikkers,v,Tynaarlo
Lijst 5 SP (Socialistische Partij),,5,F. van de Pol,Frank,van de Pol,m,Bovensmilde
Lijst 5 SP (Socialistische Partij),,6,P.H. Oosterlaak,Philip,Oosterlaak,m,Nieuweroord
Lijst 5 SP (Socialistische Partij),,7,J.H. Fokkens,Jantien,Fokkens,v,Schipborg
Lijst 5 SP (Socialistische Partij),,8,F.H. Radema,Fred,Radema,m,Eexterveenschekanaal
Lijst 5 SP (Socialistische Partij),,9,J.L.M. van Middelaar,Martijn,van Middelaar,m,Hooghalen
Lijst 5 SP (Socialistische Partij),,10,C.P.M. Ester-Schokker,Claudia,Ester-Schokker,v,Emmen
Lijst 5 SP (Socialistische Partij),,11,L.M.J. Robben-Hoge,Lucie,Robben-Hoge,v,Coevorden
Lijst 5 SP (Socialistische Partij),,12,G. van der Tuuk,Geert,van der Tuuk,m,Coevorden
Lijst 5 SP (Socialistische Partij),,13,B.A.J.T. van Heck,Bart,van Heck,m,Assen
Lijst 5 SP (Socialistische Partij),,14,H. Winter,Henny,Winter,v,Hoogeveen
Lijst 5 SP (Socialistische Partij),,15,G. Buist,Grietus,Buist,m,Nieuw-Amsterdam
Lijst 5 SP (Socialistische Partij),,16,A.D. Staples,Alan,Staples,m,Assen
Lijst 5 SP (Socialistische Partij),,17,M. Kuiper,Marc,Kuiper,m,Zwartemeer
Lijst 5 SP (Socialistische Partij),,18,M.R. de Vries,Martin,de Vries,m,Emmen
Lijst 5 SP (Socialistische Partij),,19,H. Luehof,Harry,Luehof,m,Meppel
Lijst 5 SP (Socialistische Partij),,20,I.H. Bekkering,Ineke,Bekkering,v,Hoogeveen
Lijst 5 SP (Socialistische Partij),,21,I.M. Slesazeck,Ilonka,Slesazeck,v,Assen
Lijst 5 SP (Socialistische Partij),,22,H. de Jonge,Harry,de Jonge,m,Nieuw-Dordrecht
Lijst 5 SP (Socialistische Partij),,23,A. Midden-Deinzer,Anja,Midden-Deinzer,v,De Kiel
Lijst 5 SP (Socialistische Partij),,24,J. Teske,Jan,Teske,m,Emmen
Lijst 5 SP (Socialistische Partij),,25,J. Broekema,Jan,Broekema,m,Assen
