title,description,position,full_name,first_name,last_name,gender,place
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),1,J.N. Kuipers,Hans,Kuipers,m,Meppel
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),2,H.R. Nijmeijer,Henk,Nijmeijer,m,Assen
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),3,K. Kuipers,Klaas,Kuipers,m,Midlaren
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),4,M. Reuver,Marja,Reuver,v,Nieuw-Dordrecht
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),5,K. Maters,Kristian,Maters,m,Grolloo
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),6,B.S. Langenkamp,Barbara,Langenkamp,v,Beilen
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),7,M.M. Verf,Martje,Verf,v,Havelte
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),8,O. Huisman,Otto,Huisman,m,Roden
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),9,L. Klamer,Lucas,Klamer,m,Erica
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),10,B.J. Epema,Bertus Jan,Epema,m,Roden
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),11,J. Klinkenberg,Jan,Klinkenberg,m,Een
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),12,H. Peters,Hennie,Peters,v,Meppel
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),13,D. Scholte,Dirkje,Scholte,v,Emmen
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),14,P.J. van der Vaart,Hank,van der Vaart,m,Emmen
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),15,J.L.P.M. Creemers,Johan,Creemers,m,Eexterveenschekanaal
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),16,R.C. Weima,Rudie,Weima,m,Bovensmilde
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),17,A.M.G. Meerman-Scheven,Agnes,Meerman-Scheven,v,Eelde
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),18,B. van der Woude,Bernadette,van der Woude,v,Emmen
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),19,M. van de Kasteelen,Michiel,van de Kasteelen,m,Dwingeloo
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),20,G.H. Fidom,Gerard,Fidom,m,Hoogeveen
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),21,A.M. Meerman,Arie,Meerman,m,Eelde
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),22,A. Meijering,Anneke,Meijering,v,Rolde
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),23,E.M.M. Verheijen,Erik,Verheijen,m,Zuidwolde
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),24,H. van der Leest,Hendrik,van der Leest,m,Westerbork
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),25,A. Schuiling-Valkhof,Nia,Schuiling-Valkhof,v,Eext
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),26,H. Groen,Hans,Groen,m,Mantinge
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),27,E.E. Pieterson,Emmy,Pieterson,v,Ruinen
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),28,G.M. van Dinteren,Gabrielle,van Dinteren,v,Anderen
Lijst 8 GROENLINKS,Gecombineerd met Partij van de Arbeid (P.v.d.A.),29,H.H. Assies,Harm,Assies,m,Zuidlaren
