title,description,position,full_name,first_name,last_name,gender,place
Lijst 9 50PLUS,,1,F.P. Duut,Frank,Duut,m,Assen
Lijst 9 50PLUS,,2,W.A.M. Montanje-Baak,Wilma,Montanje-Baak,v,Norg
Lijst 9 50PLUS,,3,G.J. Fonhof,Jan,Fonhof,m,Emmen
Lijst 9 50PLUS,,4,M. de Sterke,Michiel,de Sterke,m,Paterswolde
Lijst 9 50PLUS,,5,F. Bergwerf,Frans,Bergwerf,m,Beilen
Lijst 9 50PLUS,,6,C.E. Veeze,Chris,Veeze,m,Dwingeloo
Lijst 9 50PLUS,,7,A.J. Gaasbeek,Adrie,Gaasbeek,m,Diever
Lijst 9 50PLUS,,8,B.R. Hoving,Bert,Hoving,m,Bovensmilde
Lijst 9 50PLUS,,9,J.G.J. Boesenkool,Erny,Boesenkool,v,Norg
Lijst 9 50PLUS,,10,H. Siepel,Harry,Siepel,m,Southfield (US)
