title,description,position,full_name,first_name,last_name,gender,place
Lijst 12 OPA,,1,J.G. de Leeuw,Johan,de Leeuw,m,Almere
Lijst 12 OPA,,2,D. Rensema,Dick,Rensema,m,Lelystad
Lijst 12 OPA,,3,R.J. Dekker,René,Dekker,m,Almere
Lijst 12 OPA,,4,S.W. Ongering,Sibele,Ongering,m,Lelystad
Lijst 12 OPA,,5,J.J. Bouwma,Jan,Bouwma,m,Almere
Lijst 12 OPA,,6,A.L. Koopman,Adri,Koopman,m,Lelystad
Lijst 12 OPA,,7,N.E. de Jonge,Nico,de Jonge,m,Almere
Lijst 12 OPA,,8,A.M. van Zwol,Annet,van Zwol,v,Lelystad
Lijst 12 OPA,,9,C.C.J. Reijers,Kitty,Reijers,v,Almere
Lijst 12 OPA,,10,J.M. de Jong,Johan,de Jong,m,Marknesse
Lijst 12 OPA,,11,F.W. van de Laar,Frans,van de Laar,m,Lelystad
Lijst 12 OPA,,12,B. Fonhof,Bob,Fonhof,m,Almere
