title,description,position,full_name,first_name,last_name,gender,place
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,1,P.T.J. Pels,Peter,Pels,m,Lelystad
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,2,R. Azarkan,Nora,Azarkan,v,Almere
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,3,W. de Jager,Willem,de Jager,m,Lelystad
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,4,R. Breederveld,Roy,Breederveld,m,Dronten
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,5,J. Luijendijk,Jesse,Luijendijk,m,Almere
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,6,G.C.E. van Wees-Schilder,Gerda,van Wees-Schilder,v,Almere
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,7,M.W. Wiegertjes,Martin,Wiegertjes,m,Almere
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,8,F. Boundati,Farid,Boundati,m,Emmeloord
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,9,L.B.M. Venselaar,Lidwien,Venselaar,v,Almere
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,10,E. Sloot,Erik,Sloot,m,Almere
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,11,M.A.J. Westenbroek,Manon,Westenbroek,v,Dronten
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,12,J. van den Berg-Otter,Joukje,van den Berg-Otter,v,Ens
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,13,J. van Gelder,Jaap,van Gelder,m,Lelystad
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,14,M.J. Jacops,Merijn,Jacops,m,Zeewolde
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,15,D.J. Lievense,Dingeman,Lievense,m,Almere
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,16,L. Kuijpers,Loek,Kuijpers,m,Lelystad
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,17,T. Zeilstra-van der Meulen,Tity,Zeilstra-van der Meulen,v,Emmeloord
Lijst 2 Partij van de Arbeid (P.v.d.A.),Gecombineerd met GROENLINKS,18,J.J.T.M. van den Donk,Joost,van den Donk,m,Almere
