title,description,position,full_name,first_name,last_name,gender,place
Lijst 12 50PLUS,,1,J. Waterlander,Jan,Waterlander,m,Leeuwarden
Lijst 12 50PLUS,,2,P.T. Spijkstra,Pietsje,Spijkstra,v,Ternaard
Lijst 12 50PLUS,,3,T. Wiersma,Theun,Wiersma,m,Sneek
Lijst 12 50PLUS,,4,D.P. de Vries,Doeke,de Vries,m,Stavoren
Lijst 12 50PLUS,,5,C. Wijnstra,Cor,Wijnstra,m,Leeuwarden
Lijst 12 50PLUS,,6,G. de Jong,Geert,de Jong,m,Harlingen
Lijst 12 50PLUS,,7,H. Postema,Heero,Postema,m,Opeinde
Lijst 12 50PLUS,,8,P.F. Teeuwen,Peter,Teeuwen,m,Leeuwarden
Lijst 12 50PLUS,,9,M. Prinsen,Mathilde,Prinsen,v,Harlingen
Lijst 12 50PLUS,,10,A.W. Klopman,Aafke,Klopman,v,Leeuwarden
Lijst 12 50PLUS,,11,C.M. Keune,Lian,Keune,v,Lemmer
Lijst 12 50PLUS,,12,W.S. Hogenbirk,William,Hogenbirk,m,Lemmer
