title,description,position,full_name,first_name,last_name,gender,place
Lijst 1 Partij van de Arbeid (P.v.d.A.),,1,J.A. de Vries,Jannewietske,de Vries,v,Raerd
Lijst 1 Partij van de Arbeid (P.v.d.A.),,2,J.H.J. Konst,Hans,Konst,m,Joure
Lijst 1 Partij van de Arbeid (P.v.d.A.),,3,R. van Maurik,Remco,van Maurik,m,Nijeholtpade
Lijst 1 Partij van de Arbeid (P.v.d.A.),,4,R. de Jong,Roel,de Jong,m,Oranjewoud
Lijst 1 Partij van de Arbeid (P.v.d.A.),,5,H.A.M. Janssen,Hetty,Janssen,v,Leeuwarden
Lijst 1 Partij van de Arbeid (P.v.d.A.),,6,D. Hoogland,Douwe,Hoogland,m,Aldtsjerk
Lijst 1 Partij van de Arbeid (P.v.d.A.),,7,W.L. Ottens,Wanda,Ottens,v,Heerenveen
Lijst 1 Partij van de Arbeid (P.v.d.A.),,8,M. van der Meer,Marja,van der Meer,v,Ingelum
Lijst 1 Partij van de Arbeid (P.v.d.A.),,9,T. Voigt,Tjerk,Voigt,m,Snakkerburen
Lijst 1 Partij van de Arbeid (P.v.d.A.),,10,H.K. Balgobind,Harry,Balgobind,m,Drachten
Lijst 1 Partij van de Arbeid (P.v.d.A.),,11,H.M. Keizer,Marco,Keizer,m,Triemen
Lijst 1 Partij van de Arbeid (P.v.d.A.),,12,J. van Roeden-Hoekstra,Joukje,van Roeden-Hoekstra,v,Gorredijk
Lijst 1 Partij van de Arbeid (P.v.d.A.),,13,E. Hamstra,Edou,Hamstra,v,Leeuwarden
Lijst 1 Partij van de Arbeid (P.v.d.A.),,14,J.S.W. Ozenga,Jornt,Ozenga,m,Morra
Lijst 1 Partij van de Arbeid (P.v.d.A.),,15,H. van der Vlugt,Riek,van der Vlugt,v,Lemmer
Lijst 1 Partij van de Arbeid (P.v.d.A.),,16,J. Ennour,Jamila,Ennour,v,Sneek
Lijst 1 Partij van de Arbeid (P.v.d.A.),,17,J.T. Orth-Hoeksma,Janneke,Orth-Hoeksma,v,Leeuwarden
Lijst 1 Partij van de Arbeid (P.v.d.A.),,18,T. Cuperus,Tjeerd,Cuperus,m,Boksum
Lijst 1 Partij van de Arbeid (P.v.d.A.),,19,T. van de Wall,Thije,van de Wall,m,Sneek
Lijst 1 Partij van de Arbeid (P.v.d.A.),,20,R.A. Bouma,Rick,Bouma,m,Anjum
Lijst 1 Partij van de Arbeid (P.v.d.A.),,21,S. Kisoenpersad,Joy,Kisoenpersad,m,Leeuwarden
Lijst 1 Partij van de Arbeid (P.v.d.A.),,22,R.J. Schipper,Ron,Schipper,m,Grou
Lijst 1 Partij van de Arbeid (P.v.d.A.),,23,H.C. Lankman,Erik,Lankman,m,Balk
Lijst 1 Partij van de Arbeid (P.v.d.A.),,24,M.R.W. de Lange,Mark,de Lange,m,Franeker
Lijst 1 Partij van de Arbeid (P.v.d.A.),,25,J.J. Veldkamp,Jan Johannes,Veldkamp,m,Drachten
Lijst 1 Partij van de Arbeid (P.v.d.A.),,26,H.J. van der Werf,Henk,van der Werf,m,Franeker
Lijst 1 Partij van de Arbeid (P.v.d.A.),,27,S. Akkerman,Sjoukje,Akkerman,v,Drachten
Lijst 1 Partij van de Arbeid (P.v.d.A.),,28,A.P. de Jong,Arjen Pieter,de Jong,m,Rottum
Lijst 1 Partij van de Arbeid (P.v.d.A.),,29,J.J. Uildriks,Jan Jaap,Uildriks,m,Leeuwarden
Lijst 1 Partij van de Arbeid (P.v.d.A.),,30,S. Tolsma,Sjoerd,Tolsma,m,Sneek
Lijst 1 Partij van de Arbeid (P.v.d.A.),,31,R.J. Boersma,Rudolf,Boersma,m,Dokkum
Lijst 1 Partij van de Arbeid (P.v.d.A.),,32,P.F. Westra,Frans,Westra,m,Sint Nicolaasga
Lijst 1 Partij van de Arbeid (P.v.d.A.),,33,T.N. Heijs,Theda,Heijs,v,Leeuwarden
Lijst 1 Partij van de Arbeid (P.v.d.A.),,34,M.M.P. Nooijen,Martijn,Nooijen,m,Leeuwarden
Lijst 1 Partij van de Arbeid (P.v.d.A.),,35,T. Flapper,Trees,Flapper,v,Drachten
Lijst 1 Partij van de Arbeid (P.v.d.A.),,36,H.G. de Haan,Hein,de Haan,m,Leeuwarden
Lijst 1 Partij van de Arbeid (P.v.d.A.),,37,J. Kloosterman,Jan,Kloosterman,m,Buitenpost
Lijst 1 Partij van de Arbeid (P.v.d.A.),,38,K.F. Helder,Karel,Helder,m,Makkum
Lijst 1 Partij van de Arbeid (P.v.d.A.),,39,J. Rodenhuis,Jan,Rodenhuis,m,Surhuizum
Lijst 1 Partij van de Arbeid (P.v.d.A.),,40,H. Hoen,Henk,Hoen,m,Beetsterzwaag
Lijst 1 Partij van de Arbeid (P.v.d.A.),,41,B.R. Bakker,Bart,Bakker,m,Burgum
Lijst 1 Partij van de Arbeid (P.v.d.A.),,42,H. Kuiken,Hein,Kuiken,m,Harlingen
Lijst 1 Partij van de Arbeid (P.v.d.A.),,43,J.R. Zoetendal,Jelle,Zoetendal,m,Heerenveen
Lijst 1 Partij van de Arbeid (P.v.d.A.),,44,H. Rijpstra,Houkje,Rijpstra,v,Gytsjerk
Lijst 1 Partij van de Arbeid (P.v.d.A.),,45,T. Twerda,Thiadrik,Twerda,m,Franeker
Lijst 1 Partij van de Arbeid (P.v.d.A.),,46,N.G. Ketelaar,Nieske,Ketelaar,v,Drachten
Lijst 1 Partij van de Arbeid (P.v.d.A.),,47,A. Ekhart,Andries,Ekhart,m,Leeuwarden
