title,description,position,full_name,first_name,last_name,gender,place
Lijst 3 VVD,,1,K. Kielstra,Klaas,Kielstra,m,Stiens
Lijst 3 VVD,,2,M.A. Fokkens-Kelder,Avine,Fokkens-Kelder,v,Leeuwarden
Lijst 3 VVD,,3,D. Pool,Durk,Pool,m,Harkema
Lijst 3 VVD,,4,W.J. Koopmans-van der Veen,Nynke,Koopmans-van der Veen,v,Tytsjerk
Lijst 3 VVD,,5,S.L. Hosman-Benjaminse,Sylvia,Hosman-Benjaminse,v,Nijeberkoop
Lijst 3 VVD,,6,L.P. Stoel,Leo Pieter,Stoel,m,Sneek
Lijst 3 VVD,,7,E.T. de Vrij,Esther,de Vrij,v,Lemmer
Lijst 3 VVD,,8,R. Valk,Rineke,Valk,v,Makkinga
Lijst 3 VVD,,9,R. van Houten,Rianne,van Houten,v,Reduzum
Lijst 3 VVD,,10,P.A. Schoute,Peter Andries,Schoute,m,Fochteloo
Lijst 3 VVD,,11,R.T. Hoen,Roelof Theun,Hoen,m,Noordwolde
Lijst 3 VVD,,12,N. Brameijer,Nikita,Brameijer,v,Nij Beets
Lijst 3 VVD,,13,O. van der Galiën,Otto,van der Galiën,m,Burgum
Lijst 3 VVD,,14,F.P. Doting,Franke,Doting,m,IJlst
Lijst 3 VVD,,15,J.E. Boerema,Jelle,Boerema,m,Kollum
Lijst 3 VVD,,16,P.M. Schoute,Paul,Schoute,m,Harlingen
Lijst 3 VVD,,17,S. de Witte,Simon,de Witte,m,Ferwoude
Lijst 3 VVD,,18,K.D. Vasbinder-van Loon,Karen,Vasbinder-van Loon,v,Leeuwarden
Lijst 3 VVD,,19,B.J. Potjer,Barend,Potjer,m,Drachten
Lijst 3 VVD,,20,A.R. van der Aar,Anton,van der Aar,m,Dokkum
Lijst 3 VVD,,21,M. van Asperen,Marten,van Asperen,m,Ingelum
Lijst 3 VVD,,22,K.J. Blok,Karst Jan,Blok,m,Ureterp
Lijst 3 VVD,,23,A.G. Wiegman,Ally,Wiegman,v,Baaiduinen
Lijst 3 VVD,,24,R. Hoekstra,Rients,Hoekstra,m,Vlieland
Lijst 3 VVD,,25,D. Ferwerda-Havenga,Digna,Ferwerda-Havenga,v,Blije
Lijst 3 VVD,,26,K. Dijkstra-Anema,Klaske,Dijkstra-Anema,v,Franeker
Lijst 3 VVD,,27,C. Bonnema,Cees,Bonnema,m,Wolvega
Lijst 3 VVD,,28,A.P. Tuil,André,Tuil,m,Ballum
Lijst 3 VVD,,29,S. van Weperen,Sierd,van Weperen,m,Oosterwolde
Lijst 3 VVD,,30,H. Bandstra,Hielke,Bandstra,m,Workum
Lijst 3 VVD,,31,A.A. van der Sloot-Hoogendijk,Anita,van der Sloot-Hoogendijk,v,Gorredijk
Lijst 3 VVD,,32,Z. van Brussel-Wiebenga,Zwany,van Brussel-Wiebenga,v,Heerenveen
Lijst 3 VVD,,33,R. Bos,Richard,Bos,m,Steggerda
Lijst 3 VVD,,34,D.B. Douwes,Debbie,Douwes,v,Sneek
Lijst 3 VVD,,35,E.D. van Haselen,Elsbeth,van Haselen,v,Witmarsum
Lijst 3 VVD,,36,M.A. de Graaf,Meindert,de Graaf,m,Goutum
Lijst 3 VVD,,37,M.D. Kirlew,Michael,Kirlew,m,Twijzel
Lijst 3 VVD,,38,R. Haisma,Rinse,Haisma,m,Bakkeveen
Lijst 3 VVD,,39,M.J. Vuist,Marjo,Vuist,v,Heerenveen
Lijst 3 VVD,,40,H. Tamsma,Hendrik,Tamsma,m,IJlst
Lijst 3 VVD,,41,H. Terpstra,Hendrik,Terpstra,m,Berltsum
Lijst 3 VVD,,42,R. Woering,Roel,Woering,m,Lemmer
Lijst 3 VVD,,43,J.H. Veenhouwer,Jan Henk,Veenhouwer,m,Oldeberkoop
Lijst 3 VVD,,44,H.B. de Boer,Rikus,de Boer,m,Gorredijk
Lijst 3 VVD,,45,G.J.L. van Ulzen,Gert-Jaap,van Ulzen,m,Leeuwarden
Lijst 3 VVD,,46,C.C. Morgan,Christopher,Morgan,m,Leeuwarden
Lijst 3 VVD,,47,T.A. Waterlander,Tjeerd,Waterlander,m,Heerenveen
Lijst 3 VVD,,48,G. Jaarsma,Ger,Jaarsma,m,Leeuwarden
Lijst 3 VVD,,49,A. de Vries,Aukje,de Vries,v,Leeuwarden
Lijst 3 VVD,,50,A.W. Lucas-Smeerdijk,Anne-Wil,Lucas-Smeerdijk,v,Bakkeveen
