title,description,position,full_name,first_name,last_name,gender,place
Lijst 7 ChristenUnie,,1,A. Haga,Anja,Haga,v,Dokkum
Lijst 7 ChristenUnie,,2,W. de Vries,Wiebo,de Vries,m,Donkerbroek
Lijst 7 ChristenUnie,,3,Y. de Boer,Ynze,de Boer,m,Balk
Lijst 7 ChristenUnie,,4,R.H.J.M. Klerks,Richard,Klerks,m,Beetsterzwaag
Lijst 7 ChristenUnie,,5,R. Douma,Reitze,Douma,m,Drachten
Lijst 7 ChristenUnie,,6,L.A. van der Pol,Lieuwe,van der Pol,m,Woudsend
Lijst 7 ChristenUnie,,7,A.G.A. Bouwman,Andries,Bouwman,m,Leeuwarden
Lijst 7 ChristenUnie,,8,E.K.R. Rijpstra-Pranger,Emma,Rijpstra-Pranger,v,Stiens
Lijst 7 ChristenUnie,,9,M.P. Stallinga,Marc,Stallinga,m,Drachten
Lijst 7 ChristenUnie,,10,G.W. Minzinga Zijlstra,Gerrit,Minzinga Zijlstra,m,Sneek
Lijst 7 ChristenUnie,,11,B.B. Hakvoort,Bernita,Hakvoort,v,Blessum
Lijst 7 ChristenUnie,,12,P.M. van der Molen-Jonker,Margreet,van der Molen-Jonker,v,Westergeest
Lijst 7 ChristenUnie,,13,J. Halma,Jacob,Halma,m,Drachten
Lijst 7 ChristenUnie,,14,P. Tamsma,Pieter,Tamsma,m,Ferwert
Lijst 7 ChristenUnie,,15,C.J. Lambregtse,Corien,Lambregtse,v,Wyns
Lijst 7 ChristenUnie,,16,D. van Oosten,Douwe,van Oosten,m,Buitenpost
Lijst 7 ChristenUnie,,17,J.J. van der Tol,Jan Jarig,van der Tol,m,Blije
Lijst 7 ChristenUnie,,18,F.L. Tromp,Frits,Tromp,m,Leeuwarden
Lijst 7 ChristenUnie,,19,M.J. de Vries - Boersma,Margo,de Vries - Boersma,v,Leeuwarden
Lijst 7 ChristenUnie,,20,L.T.R. Boomsma,Lourens,Boomsma,m,Leeuwarden
Lijst 7 ChristenUnie,,21,G. Geertsema-Hutten,Ina,Geertsema-Hutten,v,Heerenveen
Lijst 7 ChristenUnie,,22,R. Jonkman,Rob,Jonkman,m,Beetsterzwaag
Lijst 7 ChristenUnie,,23,L.J. Blees,Leo,Blees,m,Damwâld
Lijst 7 ChristenUnie,,24,A. Lont,Arjen,Lont,m,Leeuwarden
Lijst 7 ChristenUnie,,25,O.E. Bottenbley,Orlando,Bottenbley,m,Drachten
