title,description,position,full_name,first_name,last_name,gender,place
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,1,H.J. Tiemens,Henk,Tiemens,m,Renkum
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,2,H. Dorenbos,Harm,Dorenbos,m,Ochten
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,3,M.A. Verhoeff-Wijering,Jet,Verhoeff-Wijering,v,Bennekom
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,4,P.J.M. Koot,Paul,Koot,m,Bredevoort
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,5,P.R. de Vries,Paul,de Vries,m,Elst
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,6,H.J. van der Leeden,Marike,van der Leeden,v,Wageningen
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,7,F.M. Schut,Frans,Schut,m,Huissen
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,8,C.I.B. Sciarone,Constant,Sciarone,m,Oosterbeek
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,9,E. van Amerongen,Evert,van Amerongen,m,Ochten
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,10,J.N.F. de Vringer,Jack,de Vringer,m,Bennekom
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,11,J.G. Lammers,John,Lammers,m,Ochten
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,12,B.G.H. Wieggers,Bennie,Wieggers,m,Hengelo (Gld)
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,13,G.J. Koster,Gert Jan,Koster,m,Bennekom
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,14,H.J. van den Berg-van Zijl,Hermine,van den Berg-van Zijl,v,Renkum
Lijst_15 Lokaal Belang Gelderland / 1 Achterhoek,,15,H.A.J. van Roekel,Harald,van Roekel,m,Wageningen
