title,description,position,full_name,first_name,last_name,gender,place
Lijst_3 CDA,,1,J.J. van Dijk,Jan Jacob,van Dijk,m,Culemborg
Lijst_3 CDA,,2,H.R. Zoet,Harold,Zoet,m,Wezep
Lijst_3 CDA,,3,B.E.M. Schouten,Bea,Schouten,v,Wijchen
Lijst_3 CDA,,4,D.G.C. Vliegenthart - Goedhart,Daisy,Vliegenthart - Goedhart,v,Ermelo
Lijst_3 CDA,,5,G.L.Y. Bos,Gerhard,Bos,m,Apeldoorn
Lijst_3 CDA,,6,J.R. Jonk,Jaap,Jonk,m,Geesteren
Lijst_3 CDA,,7,C.H. van Baak,Kees,van Baak,m,Nijkerk
Lijst_3 CDA,,8,E.P.E. van Steenbrugge - Spiering,Engelina,van Steenbrugge - Spiering,v,Gameren
Lijst_3 CDA,,9,A. Komdeur,Bert,Komdeur,m,Ede
Lijst_3 CDA,,10,M.W.M. Thus,Martin,Thus,m,Wehl
Lijst_3 CDA,,11,E. Rijssenbeek - van Pijkeren,Elsa,Rijssenbeek - van Pijkeren,v,Voorthuizen
Lijst_3 CDA,,12,G.J.M. Nijland,Gerard,Nijland,m,Angerlo
Lijst_3 CDA,,13,O.W.A. van Verschuer,Otto,van Verschuer,m,Leur
Lijst_3 CDA,,14,A.M.T. Vreman,Anne-Marie,Vreman,v,Ede
Lijst_3 CDA,,15,J.H.F. Kampkuiper,John,Kampkuiper,m,Ugchelen
Lijst_3 CDA,,16,J.G. Dijkstra,Jan,Dijkstra,m,Wageningen
Lijst_3 CDA,,17,J.J. van Schuylenburg - Wieringa,Jeannette,van Schuylenburg - Wieringa,v,Westervoort
Lijst_3 CDA,,18,R.G. van Schoor - van den Brink,Reinie,van Schoor - van den Brink,v,Putten
Lijst_3 CDA,,19,J.G. Buijk - Dijkstra,Gerco,Buijk - Dijkstra,m,Tiel
Lijst_3 CDA,,20,F.J.A.M. van Wijk,Ferdinand,van Wijk,m,Malden
Lijst_3 CDA,,21,R.H.A. Slager,René,Slager,m,Nunspeet
Lijst_3 CDA,,22,P.J. van Lent,Pieter,van Lent,m,Oosterbeek
Lijst_3 CDA,,23,A.F. Vink,Jos,Vink,m,Asperen
Lijst_3 CDA,,24,M. Bax,Martijn,Bax,m,Arnhem
Lijst_3 CDA,,25,K. van der Werf,Kees,van der Werf,m,De Glind
Lijst_3 CDA,,26,J.H. van Lochem,Arjan,van Lochem,m,Aalten
Lijst_3 CDA,,27,A.H.G.J. Perlo,Ton,Perlo,m,Beneden-Leeuwen
Lijst_3 CDA,,28,J. Kuit,Jan,Kuit,m,Putten
Lijst_3 CDA,,29,R.O.F.M. Berns,Rob,Berns,m,Didam
Lijst_3 CDA,,30,S.E.A. van den Broek,Scott,van den Broek,m,Horssen
Lijst_3 CDA,,31,W.N. Kip,Helma,Kip,v,Oosterbeek
Lijst_3 CDA,,32,H.G. Mosterd,Henk,Mosterd,m,Putten
Lijst_3 CDA,,33,W.J.T. van der Heijden,Wimjan,van der Heijden,m,Epe
Lijst_3 CDA,,34,A. Talsma,Alie,Talsma,v,Apeldoorn
Lijst_3 CDA,,35,H.A. van der Spek,Bert,van der Spek,m,Harderwijk
Lijst_3 CDA,,36,G.M.M. Ritzerveld,Gidie,Ritzerveld,m,Zutphen
Lijst_3 CDA,,37,M.T. Buck,Mark,Buck,m,Nijmegen
Lijst_3 CDA,,38,E. van der Weide,Erik,van der Weide,m,Ermelo
Lijst_3 CDA,,39,A.J. van Oosten,Adriaan,van Oosten,m,Zutphen
Lijst_3 CDA,,40,M.J.M. Haverkamp - Rombaut,Hilde,Haverkamp - Rombaut,v,Arnhem
Lijst_3 CDA,,41,L.S. van Dijk,Luc,van Dijk,m,Hattem
Lijst_3 CDA,,42,I.G. Saris,Ilse,Saris,v,Winterswijk
Lijst_3 CDA,,43,J.A.M. van Baal,Jan,van Baal,m,Herveld
Lijst_3 CDA,,44,P.C. Drenth,Peter,Drenth,m,Doetinchem
Lijst_3 CDA,,45,D.H.A. van Hemmen,Dick,van Hemmen,m,Nunspeet
Lijst_3 CDA,,46,J.L. Geurts,Jaco,Geurts,m,Voorthuizen
Lijst_3 CDA,,47,M.J.T. Martens,Maria,Martens,v,Nijmegen
