title,description,position,full_name,first_name,last_name,gender,place
Lijst_5 SP (Socialistische Partij),,1,E.H. van Kaathoven,Eric,van Kaathoven,m,Elst
Lijst_5 SP (Socialistische Partij),,2,P.M. de Vos,Peter,de Vos,m,Gaanderen
Lijst_5 SP (Socialistische Partij),,3,A.M.E. Lewe,Agnes,Lewe,v,Nijmegen
Lijst_5 SP (Socialistische Partij),,4,J.P. Kusters,Paul,Kusters,m,Arnhem
Lijst_5 SP (Socialistische Partij),,5,M. Gemmink,Maurits,Gemmink,m,Ulft
Lijst_5 SP (Socialistische Partij),,6,E. van Dijk,Eric,van Dijk,m,Beuningen Gld
Lijst_5 SP (Socialistische Partij),,7,A.J.A. Vollebregt,Astrid,Vollebregt,v,Loenen
Lijst_5 SP (Socialistische Partij),,8,H.C.J. Braam,Erik,Braam,m,Kerkdriel
Lijst_5 SP (Socialistische Partij),,9,M.J.F. Mulder,Marco,Mulder,m,Winterswijk
Lijst_5 SP (Socialistische Partij),,10,S.J.M.M. Kamminga-de Goeij,Simone,Kamminga-de Goeij,v,Winterswijk
Lijst_5 SP (Socialistische Partij),,11,Y. Wieken,Yurre,Wieken,m,Nijmegen
Lijst_5 SP (Socialistische Partij),,12,M. Meijler,Mosje,Meijler,m,Winterswijk
Lijst_5 SP (Socialistische Partij),,13,H. Roeterdink,Heidi,Roeterdink,v,Tiel
Lijst_5 SP (Socialistische Partij),,14,T.J. Heemskerk,Thijs,Heemskerk,m,Culemborg
Lijst_5 SP (Socialistische Partij),,15,G.J.N. Müller,Nils,Müller,m,Zutphen
Lijst_5 SP (Socialistische Partij),,16,J.M.H. Roes,Annemiek,Roes,v,Ulft
Lijst_5 SP (Socialistische Partij),,17,M.J. van Hunnik,Matthias,van Hunnik,m,Nijmegen
Lijst_5 SP (Socialistische Partij),,18,B.J.A. Claassen,Brian,Claassen,m,Bemmel
Lijst_5 SP (Socialistische Partij),,19,M.L. Roest,Manon,Roest,v,Eibergen
Lijst_5 SP (Socialistische Partij),,20,G.S.M. Wassing,Gerard,Wassing,m,Duiven
Lijst_5 SP (Socialistische Partij),,21,F.E. Stomps,Fred,Stomps,m,Borculo
Lijst_5 SP (Socialistische Partij),,22,L.L.M. Brood,Bert,Brood,m,Westervoort
Lijst_5 SP (Socialistische Partij),,23,M.A. Nigten,Riet,Nigten,v,Wageningen
Lijst_5 SP (Socialistische Partij),,24,H. van Ooijen,Herman,van Ooijen,m,Wamel
Lijst_5 SP (Socialistische Partij),,25,J.A.M. van Maris,Moos,van Maris,m,Elburg
Lijst_5 SP (Socialistische Partij),,26,A. Rahou,Aziz,Rahou,m,Zaltbommel
Lijst_5 SP (Socialistische Partij),,27,B. Zock,Björn,Zock,m,Zevenaar
Lijst_5 SP (Socialistische Partij),,28,S.M. de Jong,Sjoerd,de Jong,m,Heumen
Lijst_5 SP (Socialistische Partij),,29,R. Hengeveld,Ruth,Hengeveld,v,Dinxperlo
Lijst_5 SP (Socialistische Partij),,30,H. Molenaar,Henk,Molenaar,m,Velp
Lijst_5 SP (Socialistische Partij),,31,M.C.M. Reijnen,Manon,Reijnen,v,Wamel
Lijst_5 SP (Socialistische Partij),,32,J.W.H. van Hooft,Hans,van Hooft,m,Nijmegen
Lijst_5 SP (Socialistische Partij),,33,Y. Dagdag,Yassin,Dagdag,m,Culemborg
Lijst_5 SP (Socialistische Partij),,34,C.W. Salm,Kees,Salm,m,Bennekom
Lijst_5 SP (Socialistische Partij),,35,E.J.C. Kreuzen,Emmy,Kreuzen,v,Duiven
Lijst_5 SP (Socialistische Partij),,36,P.G. Maas,Peter,Maas,m,Groesbeek
Lijst_5 SP (Socialistische Partij),,37,P. Ott,Patrick,Ott,m,Doesburg
Lijst_5 SP (Socialistische Partij),,38,A. van Oudenallen,Nia,van Oudenallen,v,Westervoort
Lijst_5 SP (Socialistische Partij),,39,N. Brugman,Niels,Brugman,m,Beek
Lijst_5 SP (Socialistische Partij),,40,T.M.J. Koppelaar,Tamara,Koppelaar,v,Dieren
Lijst_5 SP (Socialistische Partij),,41,R.C. de Kleijn,Ruth,de Kleijn,v,Voorthuizen
Lijst_5 SP (Socialistische Partij),,42,J.G.M. van de Wiel,Seppe,van de Wiel,m,Nijmegen
Lijst_5 SP (Socialistische Partij),,43,P.G.M. Lunter,Paulien,Lunter,v,Arnhem
Lijst_5 SP (Socialistische Partij),,44,G.J. van Wijhe,Gerrit,van Wijhe,m,Gorssel
Lijst_5 SP (Socialistische Partij),,45,E.J.W. Buiting,Esther,Buiting,v,'s-Heerenberg
Lijst_5 SP (Socialistische Partij),,46,J. Klaver-Olsman,Jolanda,Klaver-Olsman,v,Heteren
Lijst_5 SP (Socialistische Partij),,47,E.M.J. Boerwinkel,Hans,Boerwinkel,m,Doetinchem
Lijst_5 SP (Socialistische Partij),,48,J.J.M. Kolkman,Jeroen,Kolkman,m,Elst
Lijst_5 SP (Socialistische Partij),,49,G.A. Polman,Bart,Polman,m,Apeldoorn
Lijst_5 SP (Socialistische Partij),,50,R. Mink,Alex,Mink,m,Arnhem
