title,description,position,full_name,first_name,last_name,gender,place
Lijst_17 Lokale Partijen Gelderland,,1,R.S. van Meygaarden,Ronald,van Meygaarden,m,Rumpt
Lijst_17 Lokale Partijen Gelderland,,2,S. van Alfen,Sander,van Alfen,m,Lienden
Lijst_17 Lokale Partijen Gelderland,,3,P. van Kuilenburg,Petra,van Kuilenburg,v,Waardenburg
Lijst_17 Lokale Partijen Gelderland,,4,P. van den Burg,Pieter,van den Burg,m,Tiel
Lijst_17 Lokale Partijen Gelderland,,5,H.A. Bulten,Andre,Bulten,m,Lathum
Lijst_17 Lokale Partijen Gelderland,,6,E.R. Goossens,Ed,Goossens,m,Meteren
Lijst_17 Lokale Partijen Gelderland,,7,J.P. Tapperwijn,John,Tapperwijn,m,Buurmalsen
Lijst_17 Lokale Partijen Gelderland,,8,R.T. van Stappershoef,Rutger,van Stappershoef,m,Rhenoy
Lijst_17 Lokale Partijen Gelderland,,9,H.F.G.M. Staring,Harry,Staring,m,Zevenaar
Lijst_17 Lokale Partijen Gelderland,,10,S. de Boer,Simone,de Boer,v,Tiel
Lijst_17 Lokale Partijen Gelderland,,11,J.J.M. Rietbergen,Jos,Rietbergen,m,Geldermalsen
Lijst_17 Lokale Partijen Gelderland,,12,F.H.W. Orlemans,Frank,Orlemans,m,Tiel
Lijst_17 Lokale Partijen Gelderland,,13,C. Nijhoff,Cor,Nijhoff,m,Waardenburg
Lijst_17 Lokale Partijen Gelderland,,14,K. de Heus,Klaartje,de Heus,v,Deil
Lijst_17 Lokale Partijen Gelderland,,15,F. Groen,Frank,Groen,m,Tiel
Lijst_17 Lokale Partijen Gelderland,,16,L.C. Hol,Marco,Hol,m,Beesd
Lijst_17 Lokale Partijen Gelderland,,17,J.W. van Vrouwerff,Joke,van Vrouwerff,v,Gellicum
Lijst_17 Lokale Partijen Gelderland,,18,W. Kooijman,Waldex,Kooijman,m,Tiel
Lijst_17 Lokale Partijen Gelderland,,19,P.N.C. de Geus,Patricia,de Geus,v,Waardenburg
Lijst_17 Lokale Partijen Gelderland,,20,A.F.E. Dekker,Diana,Dekker,v,Tiel
Lijst_17 Lokale Partijen Gelderland,,21,J.H.C. van der Veer,Jan,van der Veer,m,Zevenaar
Lijst_17 Lokale Partijen Gelderland,,22,E. van IJzendoorn,Evert,van IJzendoorn,m,Tiel
Lijst_17 Lokale Partijen Gelderland,,23,A. Ok,Ali,Ok,m,Zevenaar
Lijst_17 Lokale Partijen Gelderland,,24,H.M. Markenhof,Hettie,Markenhof,v,Deil
Lijst_17 Lokale Partijen Gelderland,,25,H.P. Koops,Peter,Koops,m,Babberich
Lijst_17 Lokale Partijen Gelderland,,26,T.J.E.M. Riswick,Dorien,Riswick,v,Zevenaar
Lijst_17 Lokale Partijen Gelderland,,27,L.K.W. Gerritsen,Louis,Gerritsen,m,Zevenaar
