title,description,position,full_name,first_name,last_name,gender,place
Lijst_1 VVD,,1,J. Markink,Jan,Markink,m,Borculo
Lijst_1 VVD,,2,C.G. Bieze - van Eck,Conny,Bieze - van Eck,v,Twello
Lijst_1 VVD,,3,M.J.P.H. Waltmans,Mike,Waltmans,m,Rozendaal
Lijst_1 VVD,,4,R.L.N. Westra,René,Westra,m,Arnhem
Lijst_1 VVD,,5,J.M. Huisman,Ans,Huisman,v,Oosterhout
Lijst_1 VVD,,6,J.A. de Haan,Hans,de Haan,m,Ermelo
Lijst_1 VVD,,7,A.J. Prins,Anja,Prins,v,Apeldoorn
Lijst_1 VVD,,8,B.G. Meerburg,Bastiaan,Meerburg,m,Randwijk
Lijst_1 VVD,,9,F.A.J. Peters,Frederik,Peters,m,Nijmegen
Lijst_1 VVD,,10,J.A.C.M. Elbers,Bart,Elbers,m,Leuvenheim
Lijst_1 VVD,,11,M.E. Schriks,Marieke,Schriks,v,Zutphen
Lijst_1 VVD,,12,C.C. van der Woude,Corrie-Christine,van der Woude,v,Ede
Lijst_1 VVD,,13,J.M.C. Kroon - Stassen,Janiek,Kroon - Stassen,v,Westervoort
Lijst_1 VVD,,14,B.J. van Bijsteren,Bert,van Bijsteren,m,Harderwijk
Lijst_1 VVD,,15,M.J.H.M. van Vught,Mireille,van Vught,v,Maasbommel
Lijst_1 VVD,,16,C. van den Bos,Chris,van den Bos,m,Winterswijk
Lijst_1 VVD,,17,C.M.W. Reesing - Som,Karin,Reesing - Som,v,Didam
Lijst_1 VVD,,18,J. van Engelen,Jan,van Engelen,m,Zaltbommel
Lijst_1 VVD,,19,B.W. Groot,Wieneke,Groot,v,Arnhem
Lijst_1 VVD,,20,M.J. Hartman - Oosterink,Marja,Hartman - Oosterink,v,Toldijk
Lijst_1 VVD,,21,R.J. de Waal,Jeroen,de Waal,m,Zutphen
Lijst_1 VVD,,22,P.A. Thijsse,Piet,Thijsse,m,Kootwijkerbroek
Lijst_1 VVD,,23,T.K. van der Elst,Tineke,van der Elst,v,Arnhem
Lijst_1 VVD,,24,R.R. van der Vlies,Rien,van der Vlies,m,Epe
Lijst_1 VVD,,25,H.G.H. Wilkens,Berry,Wilkens,m,Bemmel
Lijst_1 VVD,,26,P.J. Gaynor,Patrick,Gaynor,m,Doornspijk
Lijst_1 VVD,,27,B.B. Hasselo,Ben,Hasselo,m,Eibergen
Lijst_1 VVD,,28,C.F.L. van Sluis,Charlotte,van Sluis,v,Epe
Lijst_1 VVD,,29,J.M.J. Uijthof,Jaap,Uijthof,m,Velp
Lijst_1 VVD,,30,J.A. Voorhorst,Arjen,Voorhorst,m,Altforst
Lijst_1 VVD,,31,B.C. van Erven,Bart,van Erven,m,Apeldoorn
Lijst_1 VVD,,32,S.G.M. Lukkassen,Sid,Lukkassen,m,Duiven
Lijst_1 VVD,,33,K.J. van Guilik,Kevin,van Guilik,m,Heveadorp
Lijst_1 VVD,,34,F. Ockers,Floor,Ockers,v,Arnhem
Lijst_1 VVD,,35,J.E. Hulsbergen,Anja,Hulsbergen,v,Ochten
Lijst_1 VVD,,36,H.P.M. Swinkels,Albert,Swinkels,m,Dinxperlo
Lijst_1 VVD,,37,H.C. Smits,Henk,Smits,m,Dinxperlo
Lijst_1 VVD,,38,J.H. van Hensbergen,Jaap,van Hensbergen,m,Arnhem
Lijst_1 VVD,,39,A.T. Geurts,Aalt,Geurts,m,Putten
