title,description,position,full_name,first_name,last_name,gender,place
Lijst_2 Partij van de Arbeid (P.v.d.A.),,1,P.G.J. Kerris,Peter,Kerris,m,Nijmegen
Lijst_2 Partij van de Arbeid (P.v.d.A.),,2,A. Hedin-Penninx,Anna-Lena,Hedin-Penninx,v,Silvolde
Lijst_2 Partij van de Arbeid (P.v.d.A.),,3,P.W. Wanrooij,Piet,Wanrooij,m,Arnhem
Lijst_2 Partij van de Arbeid (P.v.d.A.),,4,H.K. Jeurink,Karin,Jeurink,v,Zutphen
Lijst_2 Partij van de Arbeid (P.v.d.A.),,5,F.A. Spoelstra,Fokko,Spoelstra,m,Apeldoorn
Lijst_2 Partij van de Arbeid (P.v.d.A.),,6,T.N.M. Visser,Titus,Visser,m,Heelsum
Lijst_2 Partij van de Arbeid (P.v.d.A.),,7,P.M.T. Wieggers,Paula,Wieggers,v,Zutphen
Lijst_2 Partij van de Arbeid (P.v.d.A.),,8,Y.L.W. de Jager-Reder,Yvonne,de Jager-Reder,v,Westervoort
Lijst_2 Partij van de Arbeid (P.v.d.A.),,9,G.H.F. Timmermans,Ferdi,Timmermans,m,Nederhemert
Lijst_2 Partij van de Arbeid (P.v.d.A.),,10,A.C. Nieuwenweg,Carina,Nieuwenweg,v,Wageningen
Lijst_2 Partij van de Arbeid (P.v.d.A.),,11,L.A. de Kleine,Laurens,de Kleine,m,Harderwijk
Lijst_2 Partij van de Arbeid (P.v.d.A.),,12,J.H.C. de Koning,Joost,de Koning,m,Arnhem
Lijst_2 Partij van de Arbeid (P.v.d.A.),,13,R. Kindt,Rosa,Kindt,v,Nijmegen
Lijst_2 Partij van de Arbeid (P.v.d.A.),,14,F. Bahçeci,Ferit,Bahçeci,m,Aalten
Lijst_2 Partij van de Arbeid (P.v.d.A.),,15,M. Moonen,Marie-Louise,Moonen,v,Gaanderen
Lijst_2 Partij van de Arbeid (P.v.d.A.),,16,M.W. Ringersma,Marije,Ringersma,v,Arnhem
Lijst_2 Partij van de Arbeid (P.v.d.A.),,17,T. Brands,Tom,Brands,m,Apeldoorn
Lijst_2 Partij van de Arbeid (P.v.d.A.),,18,W.A. Wormgoor,Betsy,Wormgoor,v,Neede
Lijst_2 Partij van de Arbeid (P.v.d.A.),,19,A.H. Teeuw,Arie,Teeuw,m,Velp
Lijst_2 Partij van de Arbeid (P.v.d.A.),,20,D.J. Beumer,Dirk Jan,Beumer,m,Oene
Lijst_2 Partij van de Arbeid (P.v.d.A.),,21,E.M. van Dijk,Liesbeth,van Dijk,v,Ede
Lijst_2 Partij van de Arbeid (P.v.d.A.),,22,A. Galijasevic,Adam,Galijasevic,m,Nijmegen
Lijst_2 Partij van de Arbeid (P.v.d.A.),,23,H.J. de Jong,Harry,de Jong,m,Apeldoorn
Lijst_2 Partij van de Arbeid (P.v.d.A.),,24,J.I.M. te Molder,Jos,te Molder,m,Mariënvelde
Lijst_2 Partij van de Arbeid (P.v.d.A.),,25,R. Kaya,Recep,Kaya,m,Heteren
Lijst_2 Partij van de Arbeid (P.v.d.A.),,26,J.W.E. Nagtegaal,Jan,Nagtegaal,m,Velp
Lijst_2 Partij van de Arbeid (P.v.d.A.),,27,H. de Graaf,Hans,de Graaf,m,Twello
Lijst_2 Partij van de Arbeid (P.v.d.A.),,28,B. Klok,Berend,Klok,m,Eerbeek
Lijst_2 Partij van de Arbeid (P.v.d.A.),,29,N.J.A. Arts,Nico,Arts,m,Wijchen
Lijst_2 Partij van de Arbeid (P.v.d.A.),,30,G.H. Gerrits,Harry,Gerrits,m,Tiel
Lijst_2 Partij van de Arbeid (P.v.d.A.),,31,J. Beverdam,Jan,Beverdam,m,Laag-Keppel
Lijst_2 Partij van de Arbeid (P.v.d.A.),,32,A.J.H.M. van den Heuvel,Willem,van den Heuvel,m,Nijmegen
Lijst_2 Partij van de Arbeid (P.v.d.A.),,33,R.H. Kreeft,Roeland,Kreeft,m,Arnhem
Lijst_2 Partij van de Arbeid (P.v.d.A.),,34,J.C.M. Liebrand,Jeannine,Liebrand,v,Nijmegen
Lijst_2 Partij van de Arbeid (P.v.d.A.),,35,C. van den Berg,Cor,van den Berg,m,Asperen
Lijst_2 Partij van de Arbeid (P.v.d.A.),,36,H.J. Weeda,Rita,Weeda,v,Renkum
Lijst_2 Partij van de Arbeid (P.v.d.A.),,37,J.P.M. Meijers,Josan,Meijers,v,Tiel
