title,description,position,full_name,first_name,last_name,gender,place
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,1,K. Ruitenberg,Klaas,Ruitenberg,,Opheusden
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,2,B. van de Weerd,Breunis,van de Weerd,,Ede
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,3,E. Mulder,Evert,Mulder,,Ugchelen
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,4,B. Wijnne,Bennie,Wijnne,,Barneveld
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,5,A.J. Klein,Arjan,Klein,,Elburg
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,6,A. Versteeg,Arnold,Versteeg,,Wekerom
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,7,G.H. Averesch,Gerrit,Averesch,,Zelhem
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,8,C. Stoffer,Chris,Stoffer,,Elspeet
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,9,H. van den Berge,Henk,van den Berge,,Apeldoorn
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,10,G. van Lagen,Gerrit,van Lagen,,Putten
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,11,L. de Knegt,Leendert,de Knegt,,Barneveld
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,12,A.R. van Doorn,Arie,van Doorn,,Meteren
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,13,N. van Wolfswinkel,Nees,van Wolfswinkel,,Opheusden
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,14,A. de Kruijf,Aart,de Kruijf,,Barneveld
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,15,H.G. Bulten,Henk,Bulten,,Doetinchem
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,16,J.W. Keuken,Hans,Keuken,,Ochten
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,17,N. Gerritsen,Nico,Gerritsen,,Putten
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,18,G. van Deelen,Gerard,van Deelen,,Scherpenzeel
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,19,A.M. Boer,Hans,Boer,,Nijkerk
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,20,T.G. Heemskerk,Anton,Heemskerk,,Barneveld
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,21,B.J. van Vreeswijk,Bert,van Vreeswijk,,Scherpenzeel
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,22,H. Morren,Henk,Morren,,Lunteren
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,23,G.W. Flier,Gerrit,Flier,,Wekerom
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,24,L.A. van der Velden,Leo,van der Velden,,Ermelo
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,25,O.D. van der Wal,Onno,van der Wal,,Lunteren
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,26,L. Kisteman,Lambert,Kisteman,,De Klomp
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,27,J. van der Tang,Koos,van der Tang,,Kootwijkerbroek
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,28,C.H. van Wolfswinkel,Kees,van Wolfswinkel,,Ede
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,29,G.R. van Leeuwen,Gert,van Leeuwen,,Opheusden
Lijst_9 Staatkundig Gereformeerde Partij (SGP),,30,H. Wobben,Henk,Wobben,,Nunspeet
