title,description,position,full_name,first_name,last_name,gender,place
Lijst 15 Seniorenpartij Groningen,,1,J. Ottens,Jan,Ottens,m,Delfzijl
Lijst 15 Seniorenpartij Groningen,,2,J.H. ten Hoove,Johan,ten Hoove,m,Groningen
Lijst 15 Seniorenpartij Groningen,,3,J. de Groot,Janny,de Groot,v,Muntendam
Lijst 15 Seniorenpartij Groningen,,4,J. Mulder,Jan,Mulder,m,Westerlee
Lijst 15 Seniorenpartij Groningen,,5,G.A. van Amson,George,van Amson,m,Delfzijl
Lijst 15 Seniorenpartij Groningen,,6,J. Hilgen,Jans,Hilgen,m,Stadskanaal
Lijst 15 Seniorenpartij Groningen,,7,H. Beks,Harry,Beks,m,Delfzijl
Lijst 15 Seniorenpartij Groningen,,8,W.J. Tammenga,Wim,Tammenga,m,Groningen
Lijst 15 Seniorenpartij Groningen,,9,H. Wiltens,Heike,Wiltens,v,Groningen
Lijst 15 Seniorenpartij Groningen,,10,A.J. Puister,Andries,Puister,m,Groningen
Lijst 15 Seniorenpartij Groningen,,11,W.M. Huisman,Wijka,Huisman,v,Delfzijl
Lijst 15 Seniorenpartij Groningen,,12,V.J. Arnaud,Vionella,Arnaud,v,Delfzijl
Lijst 15 Seniorenpartij Groningen,,13,A.S. Yilmaz,Abdul,Yilmaz,m,Appingedam
Lijst 15 Seniorenpartij Groningen,,14,G. Dodde,Geerd,Dodde,m,Veendam
