title,description,position,full_name,first_name,last_name,gender,place
Lijst 16 Verenigde Communistische Partij,,1,J.A. Kenter,Jan,Kenter,m,Winschoten
Lijst 16 Verenigde Communistische Partij,,2,J.H. Steenhuis,Johan,Steenhuis,m,Midwolda
Lijst 16 Verenigde Communistische Partij,,3,E. Modderman,Engel,Modderman,m,Oostwold
Lijst 16 Verenigde Communistische Partij,,4,J.J. Swarts,Johan,Swarts,m,Nieuwe Pekela
Lijst 16 Verenigde Communistische Partij,,5,H. Kuiper,Appie,Kuiper,m,Winschoten
Lijst 16 Verenigde Communistische Partij,,6,B. Pluim,Be,Pluim,m,Winschoten
Lijst 16 Verenigde Communistische Partij,,7,H.E. Strating,Henk,Strating,m,Winschoten
Lijst 16 Verenigde Communistische Partij,,8,J.J.H. van Dijke,Henk,van Dijke,m,Winschoten
Lijst 16 Verenigde Communistische Partij,,9,H. Haan,Appie,Haan,m,Winschoten
Lijst 16 Verenigde Communistische Partij,,10,D. Zwik,Dikkie,Zwik,m,Blijham
Lijst 16 Verenigde Communistische Partij,,11,A.M. Udema,Annemiek,Udema,v,Beerta
Lijst 16 Verenigde Communistische Partij,,12,S. Kuiper,Bassie,Kuiper,m,Oude Pekela
Lijst 16 Verenigde Communistische Partij,,13,J. Modderman-Mickat,Johan,Modderman-Mickat,m,Winschoten
Lijst 16 Verenigde Communistische Partij,,14,J.W. Drenth,Jaap,Drenth,m,Veendam
Lijst 16 Verenigde Communistische Partij,,15,A. Lankamp,Amber,Lankamp,v,Oude Pekela
Lijst 16 Verenigde Communistische Partij,,16,A. de Groot,Alma,de Groot,v,Heiligerlee
Lijst 16 Verenigde Communistische Partij,,17,J. Drenth,Jacob,Drenth,m,Beerta
Lijst 16 Verenigde Communistische Partij,,18,J. Zoutman,Johannes,Zoutman,m,Scheemda
