title,description,position,full_name,first_name,last_name,gender,place
Lijst 9 Partij voor het Noorden,,1,B. Zwiers,Be,Zwiers,m,Oostwold
Lijst 9 Partij voor het Noorden,,2,L.E.J. van der Laan,Leendert,van der Laan,m,Groningen
Lijst 9 Partij voor het Noorden,,3,H.T. Hoiting,Henk,Hoiting,m,Zuidwolde
Lijst 9 Partij voor het Noorden,,4,H.J. van der Werff-Poort,Harmien,van der Werff-Poort,v,Oosterwijtwerd
Lijst 9 Partij voor het Noorden,,5,J.J. van der Werff,Jurrien,van der Werff,m,Münster (DE)
Lijst 9 Partij voor het Noorden,,6,G.P. Staats,Geert,Staats,m,Westerbroek
Lijst 9 Partij voor het Noorden,,7,H. de Vrieze,Henk,de Vrieze,m,Scheemda
Lijst 9 Partij voor het Noorden,,8,H.J. Smit,Heddy,Smit,v,Winschoten
Lijst 9 Partij voor het Noorden,,9,M.M.W. Kalse,Mark,Kalse,m,Winschoten
Lijst 9 Partij voor het Noorden,,10,J. Nieboer,Jurrie,Nieboer,m,Winschoten
Lijst 9 Partij voor het Noorden,,11,E.H.M. Oudhoff,Eveline,Oudhoff,v,Westerlee
Lijst 9 Partij voor het Noorden,,12,L.K. Terpstra,Lieuwe,Terpstra,m,Groningen
Lijst 9 Partij voor het Noorden,,13,A. Zwart,Dries,Zwart,m,Appingedam
Lijst 9 Partij voor het Noorden,,14,J. Oosterhaven,Jan,Oosterhaven,m,Groningen
Lijst 9 Partij voor het Noorden,,15,T.J. Zanen,Teun Jan,Zanen,m,Zuidwolde
Lijst 9 Partij voor het Noorden,,16,J. Uitham,Jan,Uitham,m,Groningen
