title,description,position,full_name,first_name,last_name,gender,place
Lijst_1 PVV (Partij voor de Vrijheid),,1,M.J.T. Heemels,Michael,Heemels,m,Herkenbosch
Lijst_1 PVV (Partij voor de Vrijheid),,2,R.W.P.E. Housmans,Robert,Housmans,m,Born
Lijst_1 PVV (Partij voor de Vrijheid),,3,D.A. Fijnje,Donald,Fijnje,m,Tegelen
Lijst_1 PVV (Partij voor de Vrijheid),,4,L. Groenendal,Leo,Groenendal,m,Maastricht
Lijst_1 PVV (Partij voor de Vrijheid),,5,L.J. Hermans,Lei,Hermans,m,Elsloo
Lijst_1 PVV (Partij voor de Vrijheid),,6,B.A. Simons,Boudewijn,Simons,m,Venray
Lijst_1 PVV (Partij voor de Vrijheid),,7,M.T. Bosch,Mart,Bosch,m,Heerlen
Lijst_1 PVV (Partij voor de Vrijheid),,8,D.D.W. Pfoster,Daryl,Pfoster,m,Buchten
Lijst_1 PVV (Partij voor de Vrijheid),,9,K.J.P. van Soest,Hans,van Soest,m,Venlo
Lijst_1 PVV (Partij voor de Vrijheid),,10,N.F.S. van der Loo,Niek,van der Loo,m,Roermond
Lijst_1 PVV (Partij voor de Vrijheid),,11,W.A.E. Dierks,Willem,Dierks,m,Sittard
Lijst_1 PVV (Partij voor de Vrijheid),,12,O.H.H.M. Moonen,Orban,Moonen,m,Landgraaf
Lijst_1 PVV (Partij voor de Vrijheid),,13,F.F.P.J.G. Sturtz,Frank,Sturtz,m,Schinveld
Lijst_1 PVV (Partij voor de Vrijheid),,14,G.L. van Rijswijck-Rheiter,Truus,van Rijswijck-Rheiter,v,Arcen
Lijst_1 PVV (Partij voor de Vrijheid),,15,B.W.G.J. Kornips,Bart,Kornips,m,Weert
Lijst_1 PVV (Partij voor de Vrijheid),,16,J.M.G. Weusten,Jean-Marie,Weusten,m,Mheer
Lijst_1 PVV (Partij voor de Vrijheid),,17,P.W.M. Meijer-Huibers,Petra,Meijer-Huibers,v,Venlo
