title,description,position,full_name,first_name,last_name,gender,place
Lijst_4 Partij van de Arbeid (P.v.d.A.),,1,E. Geurts,Eric,Geurts,m,Brunssum
Lijst_4 Partij van de Arbeid (P.v.d.A.),,2,J.J.M. Kuntzelaers,Jasper,Kuntzelaers,m,Venlo
Lijst_4 Partij van de Arbeid (P.v.d.A.),,3,T.A.H. Houben,Tirza,Houben,v,Roermond
Lijst_4 Partij van de Arbeid (P.v.d.A.),,4,Z. Bouders,Zakaria,Bouders,m,Venlo
Lijst_4 Partij van de Arbeid (P.v.d.A.),,5,A. Tromp,Sander,Tromp,m,Maastricht
Lijst_4 Partij van de Arbeid (P.v.d.A.),,6,L.F.A. Heuvelmans,Leon,Heuvelmans,m,Weert
Lijst_4 Partij van de Arbeid (P.v.d.A.),,7,T.H. Kersten,Theo,Kersten,m,Gennep
Lijst_4 Partij van de Arbeid (P.v.d.A.),,8,J.H. Bours-Vogels,Anneke,Bours-Vogels,v,Maasbracht
Lijst_4 Partij van de Arbeid (P.v.d.A.),,9,E. van Wamelen,Esther,van Wamelen,v,Venray
Lijst_4 Partij van de Arbeid (P.v.d.A.),,10,L.E.H. Kockelkoren,Lars,Kockelkoren,m,Nuth
Lijst_4 Partij van de Arbeid (P.v.d.A.),,11,A. Berghorst,Aleida,Berghorst,v,Maastricht
Lijst_4 Partij van de Arbeid (P.v.d.A.),,12,H.L. Glessner,Hilde,Glessner,v,Horn
Lijst_4 Partij van de Arbeid (P.v.d.A.),,13,M.H.M. Frenken-Ras,Maria,Frenken-Ras,v,Ospel
Lijst_4 Partij van de Arbeid (P.v.d.A.),,14,L.C.C.M. Wolters,Lisa,Wolters,v,Susteren
Lijst_4 Partij van de Arbeid (P.v.d.A.),,15,F.B.E. Hölscher,Frans,Hölscher,m,Heerlen
Lijst_4 Partij van de Arbeid (P.v.d.A.),,16,J.C.L. Aelen,Jacqueline,Aelen,v,Posterholt
Lijst_4 Partij van de Arbeid (P.v.d.A.),,17,R.G.J. Bouten,Roy,Bouten,m,Horst
Lijst_4 Partij van de Arbeid (P.v.d.A.),,18,A. Primowees,Annigje,Primowees,v,Maasbree
Lijst_4 Partij van de Arbeid (P.v.d.A.),,19,C.G.P.M. Peters,Karin,Peters,v,Molenhoek
Lijst_4 Partij van de Arbeid (P.v.d.A.),,20,C.W.J.M. Roefs,Lia,Roefs,v,Bergen (L)
Lijst_4 Partij van de Arbeid (P.v.d.A.),,21,J.A.P. Smeets,Jan,Smeets,m,Einighausen
Lijst_4 Partij van de Arbeid (P.v.d.A.),,22,P.H. van Dijk,Peter,van Dijk,m,Heerlen
