title,description,position,full_name,first_name,last_name,gender,place
Lijst_8 50PLUS,,1,H.M.V. van der Linden,Henk,van der Linden,m,Sint Odiliënberg
Lijst_8 50PLUS,,2,H. Meijer,Hein,Meijer,m,Heerlen
Lijst_8 50PLUS,,3,G.M.J. Cornelissen,Truus,Cornelissen,v,Heythuysen
Lijst_8 50PLUS,,4,P.J.M. Michalides,Peter,Michalides,m,Bunde
Lijst_8 50PLUS,,5,A.M.J.N. Fischer-Otten,Anne-Marie,Fischer-Otten,v,Kerkrade
Lijst_8 50PLUS,,6,H.A. Wissingh,Ab,Wissingh,m,Venlo
Lijst_8 50PLUS,,7,M.A.M. Bruijns,Martin,Bruijns,m,Weert
Lijst_8 50PLUS,,8,J.J.A.M. van den Borne,Jos,van den Borne,m,Griendtsveen
Lijst_8 50PLUS,,9,H.L.J. Kamps,Hugo,Kamps,m,Sittard
Lijst_8 50PLUS,,10,G.R.J. Kers,Geert,Kers,m,Weert
Lijst_8 50PLUS,,11,A.L.E.W. Bovée,Fons,Bovée,m,Swalmen
Lijst_8 50PLUS,,12,J. Langenberg,Johan,Langenberg,m,Heythuysen
Lijst_8 50PLUS,,13,N.L.D. Kroonstuiver,Natascha,Kroonstuiver,v,Venlo
Lijst_8 50PLUS,,14,C.R.J. Martens,Charl,Martens,m,Merkelbeek
Lijst_8 50PLUS,,15,A. de Bood,Arie,de Bood,m,Hulsberg
Lijst_8 50PLUS,,16,M.L.J.T. Stijnen,Miewies,Stijnen,v,Maastricht
Lijst_8 50PLUS,,17,R.A.P. van Dijk,Rolf,van Dijk,m,Heerlen
