title,description,position,full_name,first_name,last_name,gender,place
Lijst_4 SP (Socialistische Partij),,1,N.G.L. Heijmans,Nico,Heijmans,m,'s-Hertogenbosch
Lijst_4 SP (Socialistische Partij),,2,W.M.A. Arts,Willemieke,Arts,v,Eindhoven
Lijst_4 SP (Socialistische Partij),,3,N. Altundal,Nurettin,Altundal,m,Oss
Lijst_4 SP (Socialistische Partij),,4,M.J. Everling,Maarten,Everling,m,Dongen
Lijst_4 SP (Socialistische Partij),,5,R.A. de Jonge,Roy,de Jonge,m,Halsteren
Lijst_4 SP (Socialistische Partij),,6,J. van Meel,Joep,van Meel,m,Bavel
Lijst_4 SP (Socialistische Partij),,7,W. Claessens-Vloedgraven,Tineke,Claessens-Vloedgraven,v,Roosendaal
Lijst_4 SP (Socialistische Partij),,8,M. Spapens,Maurice,Spapens,m,Breda
Lijst_4 SP (Socialistische Partij),,9,W.R. van der Staak,Wouter,van der Staak,m,Sint-Oedenrode
Lijst_4 SP (Socialistische Partij),,10,F.C.C.M. van Iersel,Francy,van Iersel,v,Tilburg
Lijst_4 SP (Socialistische Partij),,11,M.E.W.T. van Wijnen-Heijs,Mariëlla,van Wijnen-Heijs,v,Boxmeer
Lijst_4 SP (Socialistische Partij),,12,B. Hoogteijling,Barend,Hoogteijling,m,Schijndel
Lijst_4 SP (Socialistische Partij),,13,G. Engin,Gülcan,Engin,v,Rijen
Lijst_4 SP (Socialistische Partij),,14,B.J.M. Gerard,Bernard,Gerard,m,Eindhoven
Lijst_4 SP (Socialistische Partij),,15,R.C.M. Merks,Ruud,Merks,m,Schijndel
Lijst_4 SP (Socialistische Partij),,16,B.M.G. van Lieshout,Bregje,van Lieshout,v,Cuijk
Lijst_4 SP (Socialistische Partij),,17,P.H. Hamerslag,Patty,Hamerslag,v,'s-Hertogenbosch
Lijst_4 SP (Socialistische Partij),,18,M.A.A.F. van Bergen,Marianne,van Bergen,v,Uden
Lijst_4 SP (Socialistische Partij),,19,D.M. van de Ven,Dave,van de Ven,m,Boxtel
Lijst_4 SP (Socialistische Partij),,20,N.H.M. van Hoof,Nicolle,van Hoof,v,Tilburg
Lijst_4 SP (Socialistische Partij),,21,S.W.T. van den Brekel,Stijn,van den Brekel,m,Goirle
Lijst_4 SP (Socialistische Partij),,22,P.J.C. de Peuter,Piet,de Peuter,m,Geertruidenberg
Lijst_4 SP (Socialistische Partij),,23,R.F. Nab,Ruud,Nab,m,Rijen
Lijst_4 SP (Socialistische Partij),,24,E. de Visser,Eddy,de Visser,m,Zevenbergen
Lijst_4 SP (Socialistische Partij),,25,J. Struijs,Jasper,Struijs,m,Etten-Leur
Lijst_4 SP (Socialistische Partij),,26,P.C. Schouten,Peter,Schouten,m,Breda
Lijst_4 SP (Socialistische Partij),,27,J.H.A. Schnitker,Jan,Schnitker,m,Bergen op Zoom
Lijst_4 SP (Socialistische Partij),,28,C.W.L.M. van Ham,Kees,van Ham,m,Tilburg
Lijst_4 SP (Socialistische Partij),,29,A. Eikelenboom,Deborah,Eikelenboom,v,Goirle
Lijst_4 SP (Socialistische Partij),,30,W.M. van Riel,Willem,van Riel,m,Rijsbergen
Lijst_4 SP (Socialistische Partij),,31,F.H.J.M. van de Wiel,Frans,van de Wiel,m,Raamsdonksveer
Lijst_4 SP (Socialistische Partij),,32,M.J. van der Aa,Marcel,van der Aa,m,Roosendaal
Lijst_4 SP (Socialistische Partij),,33,C.P.M. Kolman-Ruijs,Christa,Kolman-Ruijs,v,Bernheze
Lijst_4 SP (Socialistische Partij),,34,J.B. Koelman,Johan,Koelman,m,Boxmeer
Lijst_4 SP (Socialistische Partij),,35,L.W.J. Maraczi,Lonneke,Maraczi,v,Helmond
Lijst_4 SP (Socialistische Partij),,36,M.P.M. de Jong,Martijn,de Jong,m,Steenbergen
Lijst_4 SP (Socialistische Partij),,37,A.C. Goudriaan,Caro,Goudriaan,v,Eindhoven
Lijst_4 SP (Socialistische Partij),,38,T.E.A. Beckman,Tessa,Beckman,v,Vught
Lijst_4 SP (Socialistische Partij),,39,C.J.C.H. van Hellemont,Carl,van Hellemont,m,Etten-Leur
Lijst_4 SP (Socialistische Partij),,40,M. Memiş,Murat,Memiş,m,Eindhoven
Lijst_4 SP (Socialistische Partij),,41,C.J. Muis,Cor Jan,Muis,m,Oosterhout
Lijst_4 SP (Socialistische Partij),,42,P.C.J. van Limpt,Kees,van Limpt,m,Veghel
Lijst_4 SP (Socialistische Partij),,43,R.S. Luhrman,Remco,Luhrman,m,Klundert
Lijst_4 SP (Socialistische Partij),,44,G.J. Zoll,Jan,Zoll,m,Oss
Lijst_4 SP (Socialistische Partij),,45,A.A.W.M. de Laat,Arno,de Laat,m,Goirle
Lijst_4 SP (Socialistische Partij),,46,R.J.A. Swinkels,Rob,Swinkels,m,Heeze
Lijst_4 SP (Socialistische Partij),,47,W. van de Merbel,Wim,van de Merbel,m,Fijnaart
Lijst_4 SP (Socialistische Partij),,48,H.M. Don,Hans-Martin,Don,m,Waalre
Lijst_4 SP (Socialistische Partij),,49,M.J.C. Marijnissen-Couweleers,Merian,Marijnissen-Couweleers,v,Bavel
Lijst_4 SP (Socialistische Partij),,50,J.J.C. van den Hout,Johan,van den Hout,m,Tilburg
