title,description,position,full_name,first_name,last_name,gender,place
Lijst_5 Partij van de Arbeid (P.v.d.A.),,1,S.J.A.H. Smeulders,Stijn,Smeulders,m,Helmond
Lijst_5 Partij van de Arbeid (P.v.d.A.),,2,A.J.H. Knoet-Michels,Antoinette,Knoet-Michels,v,Vlierden
Lijst_5 Partij van de Arbeid (P.v.d.A.),,3,M.V. de Kort,Martijn,de Kort,m,Vught
Lijst_5 Partij van de Arbeid (P.v.d.A.),,4,B.L.M. Maas,Ben,Maas,m,Netersel
Lijst_5 Partij van de Arbeid (P.v.d.A.),,5,E.J.C. van Griensven,Driek,van Griensven,m,Berkel-Enschot
Lijst_5 Partij van de Arbeid (P.v.d.A.),,6,P.R. Klaver,Paul,Klaver,m,Roosendaal
Lijst_5 Partij van de Arbeid (P.v.d.A.),,7,B.H.M. Brands,Ben,Brands,m,Vught
Lijst_5 Partij van de Arbeid (P.v.d.A.),,8,M.T.H. van de Weijer,Tine,van de Weijer,v,Tilburg
Lijst_5 Partij van de Arbeid (P.v.d.A.),,9,Y. Kaplan,Yusuf,Kaplan,m,Bergen op Zoom
Lijst_5 Partij van de Arbeid (P.v.d.A.),,10,H.F.G.A.M. van Deijck,Hennie,van Deijck,v,Tilburg
Lijst_5 Partij van de Arbeid (P.v.d.A.),,11,S. Pijnenburg,Stan,Pijnenburg,m,'s-Hertogenbosch
Lijst_5 Partij van de Arbeid (P.v.d.A.),,12,P.B.E. Vermeulen,Patrick,Vermeulen,m,Tilburg
Lijst_5 Partij van de Arbeid (P.v.d.A.),,13,J.A.S.H. Verbeem,Han,Verbeem,m,Bergen op Zoom
Lijst_5 Partij van de Arbeid (P.v.d.A.),,14,J. Hopstaken,Jan,Hopstaken,m,Eindhoven
Lijst_5 Partij van de Arbeid (P.v.d.A.),,15,K. Ajouaou,Karim,Ajouaou,m,Helmond
Lijst_5 Partij van de Arbeid (P.v.d.A.),,16,M.H.L. van Dommelen,Mariëlle,van Dommelen,v,Udenhout
Lijst_5 Partij van de Arbeid (P.v.d.A.),,17,A.M.M. Hussen,Abdulahi,Hussen,m,Cuijk
Lijst_5 Partij van de Arbeid (P.v.d.A.),,18,J.G.W. Rooijakkers,Jeroen,Rooijakkers,m,Veldhoven
Lijst_5 Partij van de Arbeid (P.v.d.A.),,19,A.M.A. van Drunen,Arjen,van Drunen,m,Made
Lijst_5 Partij van de Arbeid (P.v.d.A.),,20,F.H.W. Szablewski,Frans,Szablewski,m,Breda
Lijst_5 Partij van de Arbeid (P.v.d.A.),,21,I. Boddé,Ivo,Boddé,m,Schijndel
Lijst_5 Partij van de Arbeid (P.v.d.A.),,22,T. van den Brule,Thom,van den Brule,m,Helmond
Lijst_5 Partij van de Arbeid (P.v.d.A.),,23,J.J.F. Westland,Joost,Westland,m,Tilburg
Lijst_5 Partij van de Arbeid (P.v.d.A.),,24,D. de Jong,Devon,de Jong,m,Nuenen
Lijst_5 Partij van de Arbeid (P.v.d.A.),,25,G.P. Welling,Gerben,Welling,m,Eindhoven
Lijst_5 Partij van de Arbeid (P.v.d.A.),,26,E.B.M. Schoenmakers,Etiënne,Schoenmakers,m,Huijbergen
Lijst_5 Partij van de Arbeid (P.v.d.A.),,27,L.C.F.M. Goderie,Luc,Goderie,m,Roosendaal
Lijst_5 Partij van de Arbeid (P.v.d.A.),,28,H.C.J.M. van Loon,Henri,van Loon,m,Tilburg
Lijst_5 Partij van de Arbeid (P.v.d.A.),,29,M.M.S. Soedamah,Michael,Soedamah,m,Veghel
Lijst_5 Partij van de Arbeid (P.v.d.A.),,30,J.A.M. van Kessel,Johan,van Kessel,m,'s-Hertogenbosch
Lijst_5 Partij van de Arbeid (P.v.d.A.),,31,E. Zendegani Jahromi,Emad,Zendegani Jahromi,m,Cuijk
Lijst_5 Partij van de Arbeid (P.v.d.A.),,32,A.G.D. van Leersum,Fons,van Leersum,m,Tilburg
Lijst_5 Partij van de Arbeid (P.v.d.A.),,33,P.P.A. van Duijnhoven,Paul,van Duijnhoven,m,Tilburg
Lijst_5 Partij van de Arbeid (P.v.d.A.),,34,J. Hengeveld,Jaap,Hengeveld,m,Cuijk
Lijst_5 Partij van de Arbeid (P.v.d.A.),,35,G. Sterenborg,Geert,Sterenborg,m,Rijen
Lijst_5 Partij van de Arbeid (P.v.d.A.),,36,N. Hopman,Nico,Hopman,m,'s-Hertogenbosch
Lijst_5 Partij van de Arbeid (P.v.d.A.),,37,J.P. Ragetlie,Jasper,Ragetlie,m,Deurne
Lijst_5 Partij van de Arbeid (P.v.d.A.),,38,R.G. Poel,Rob,Poel,m,Sint Agatha
Lijst_5 Partij van de Arbeid (P.v.d.A.),,39,J.W. Stalknecht,Johan,Stalknecht,m,Bergen op Zoom
Lijst_5 Partij van de Arbeid (P.v.d.A.),,40,B. van Beers,Bea,van Beers,v,Dongen
Lijst_5 Partij van de Arbeid (P.v.d.A.),,41,M.S. Yap,Michael,Yap,m,Roosendaal
Lijst_5 Partij van de Arbeid (P.v.d.A.),,42,M.G. de Wit,Marjolein,de Wit,v,Willemstad
Lijst_5 Partij van de Arbeid (P.v.d.A.),,43,A.A.M. Blaauwbroek,Auke,Blaauwbroek,m,Tilburg
Lijst_5 Partij van de Arbeid (P.v.d.A.),,44,B.W. Bouman,Bram,Bouman,m,Hoogerheide
Lijst_5 Partij van de Arbeid (P.v.d.A.),,45,M. Haagh,Miriam,Haagh,v,Breda
Lijst_5 Partij van de Arbeid (P.v.d.A.),,46,R.J.J.M. Wagemakers,Rob,Wagemakers,m,Tilburg
Lijst_5 Partij van de Arbeid (P.v.d.A.),,47,C.W.M. Jongmans,Kees,Jongmans,m,Roosendaal
Lijst_5 Partij van de Arbeid (P.v.d.A.),,48,M. Mulder,Margo,Mulder,v,Vlijmen
Lijst_5 Partij van de Arbeid (P.v.d.A.),,49,A.J. van der Wegen,Ad,van der Wegen,m,Halsteren
Lijst_5 Partij van de Arbeid (P.v.d.A.),,50,H.J.M. Leenders,Henk,Leenders,m,Breda
