title,description,position,full_name,first_name,last_name,gender,place
Lijst_8 50PLUS,,1,F.M.M. Claassen,Frans,Claassen,m,Eindhoven
Lijst_8 50PLUS,,2,W.A.A.M. van Overveld,Wim,van Overveld,m,Oudenbosch
Lijst_8 50PLUS,,3,H. Oosterveer,Horst,Oosterveer,m,Waalre
Lijst_8 50PLUS,,4,M.L.F. van Bree-Meeuwsen,Mieke,van Bree-Meeuwsen,v,Eindhoven
Lijst_8 50PLUS,,5,J.F.X.M. Brouwers,Jan Frans,Brouwers,m,Son en Breugel
Lijst_8 50PLUS,,6,J.P.W.A.A.M. Taks,Joep,Taks,m,Breda
Lijst_8 50PLUS,,7,J.A.M. van Hulst,Jolanda,van Hulst,v,Veldhoven
Lijst_8 50PLUS,,8,J.H.T. van Orsouw,Joop,van Orsouw,m,Oss
Lijst_8 50PLUS,,9,A. Hernández Martínez,Adriana,Hernández Martínez,v,'s-Hertogenbosch
Lijst_8 50PLUS,,10,J.F.M. van Bree,Joop,van Bree,m,Eindhoven
Lijst_8 50PLUS,,11,A.G.B.M. Roeten,Ton,Roeten,m,Valkenswaard
Lijst_8 50PLUS,,12,M.J.W. van Tongeren,Tiny,van Tongeren,m,Waalre
Lijst_8 50PLUS,,13,J.F.H. Hulshuizen,Henk,Hulshuizen,m,Eindhoven
Lijst_8 50PLUS,,14,J.J.M. Voets,John,Voets,m,Bergen op Zoom
Lijst_8 50PLUS,,15,J.T. van de Kar,Hans,van de Kar,m,Etten-Leur
Lijst_8 50PLUS,,16,E. van Ooijen,Edmond,van Ooijen,m,Liessel
Lijst_8 50PLUS,,17,P. Matthijssen,Pieter,Matthijssen,m,Neerkant
Lijst_8 50PLUS,,18,J.C. Verhoeven - van den Heuvel,Jacqueline,Verhoeven - van den Heuvel,v,'s-Hertogenbosch
Lijst_8 50PLUS,,19,D.J.M. Rennenberg,Niek,Rennenberg,m,Eindhoven
Lijst_8 50PLUS,,20,E.F.M.J. van Thiel,Miel,van Thiel,m,Eindhoven
Lijst_8 50PLUS,,21,T.J. van Mullekom,Theo,van Mullekom,m,Helmond
Lijst_8 50PLUS,,22,A.J.A. Rennenberg,Dré,Rennenberg,m,Eindhoven
Lijst_8 50PLUS,,23,P.H. Bergen,Presley,Bergen,m,Bladel
Lijst_8 50PLUS,,24,H. Mondriaan,Herman,Mondriaan,m,Boxtel
Lijst_8 50PLUS,,25,A.J.M. Spooren,Chris,Spooren,m,Son en Breugel
Lijst_8 50PLUS,,26,H.C.M. Krol,Henk,Krol,m,Eindhoven
