title,description,position,full_name,first_name,last_name,gender,place
Lijst_11 StemNL,,1,M.A.A. van den Eijnde,,van den Eijnde,m,Helmond
Lijst_11 StemNL,,2,D.H.A. van den Eijnde,,van den Eijnde,m,Helmond
Lijst_11 StemNL,,3,A. Üstün,,Üstün,m,Helmond
Lijst_11 StemNL,,4,H.W.G.M. van den Heuvel,,van den Heuvel,v,Helmond
Lijst_11 StemNL,,5,L.G.M. Verberne,,Verberne,v,Helmond
Lijst_11 StemNL,,6,P.P.M. Verberne,,Verberne,m,Helmond
Lijst_11 StemNL,,7,D.F.M. Pieloor,,Pieloor,m,Helmond
Lijst_11 StemNL,,8,P.A.H. Cops,,Cops,m,Eindhoven
Lijst_11 StemNL,,9,G.A. Derksen,,Derksen,m,Helmond
Lijst_11 StemNL,,10,M.T.P. van der Heijden,,van der Heijden,m,Helmond
