title,description,position,full_name,first_name,last_name,gender,place
Lijst_12 Lokaal Brabant,,1,J.H.W.F. Heijman,Jan,Heijman,m,Tilburg
Lijst_12 Lokaal Brabant,,2,G.P. Kunst- van Suijlekom,Denise,Kunst- van Suijlekom,v,'s Gravenmoer
Lijst_12 Lokaal Brabant,,3,C.F.A.M. van Aert,Kees,van Aert,m,Etten-Leur
Lijst_12 Lokaal Brabant,,4,J.A. Ockers,Jan,Ockers,m,Veen
Lijst_12 Lokaal Brabant,,5,J.C.P. van Gorp,John,van Gorp,m,Tilburg
Lijst_12 Lokaal Brabant,,6,A.W.G. de Laat,Angelo,de Laat,m,Waalre
Lijst_12 Lokaal Brabant,,7,I.C.H. Jansen,Rene,Jansen,m,Dongen
Lijst_12 Lokaal Brabant,,8,E.R. Rosbak,Ron,Rosbak,m,Etten-Leur
Lijst_12 Lokaal Brabant,,9,G.A.W.A. Verhoeven,Rogier,Verhoeven,m,Nispen
Lijst_12 Lokaal Brabant,,10,R.E.M. Koehof-Küpper,Renee,Koehof-Küpper,v,Tilburg
Lijst_12 Lokaal Brabant,,11,A.J. Schijvenaars,Ton,Schijvenaars,m,Roosendaal
Lijst_12 Lokaal Brabant,,12,P.A. Bouman,Pim,Bouman,m,Genderen
Lijst_12 Lokaal Brabant,,13,M. Brokx,Marco,Brokx,m,Tilburg
Lijst_12 Lokaal Brabant,,14,J.H. Boer,Jennie,Boer,v,Etten-Leur
Lijst_12 Lokaal Brabant,,15,A.M. van Zweden-Timmermans,Adri,van Zweden-Timmermans,v,Woensdrecht
Lijst_12 Lokaal Brabant,,16,D. Zumker,Dick,Zumker,m,Bladel
Lijst_12 Lokaal Brabant,,17,G.J.J. Lammers,Gerard,Lammers,m,Waalre
Lijst_12 Lokaal Brabant,,18,J.G. Ooms,Jan,Ooms,m,Steenbergen
Lijst_12 Lokaal Brabant,,19,F.T.A. Geers,Frank,Geers,m,Tilburg
Lijst_12 Lokaal Brabant,,20,H.M. Suijkerbuijk,Bert,Suijkerbuijk,m,Oudenbosch
Lijst_12 Lokaal Brabant,,21,J.S. Mucharowski,Jan,Mucharowski,m,Etten-Leur
Lijst_12 Lokaal Brabant,,22,T.W.M Verhoeven,Thea,Verhoeven,v,Tilburg
Lijst_12 Lokaal Brabant,,23,M. van Dijk,Martin,van Dijk,m,Woudrichem
Lijst_12 Lokaal Brabant,,24,S. Uslu,Süleyman,Uslu,m,'s-Hertogenbosch
Lijst_12 Lokaal Brabant,,25,H.C. van Ginneken,Henk,van Ginneken,m,Den Hout
Lijst_12 Lokaal Brabant,,26,F. Oeijen,Frans-Josef,Oeijen,m,Tilburg
Lijst_12 Lokaal Brabant,,27,A.C.M.M. van Gorp-Adam,Adrienne,van Gorp-Adam,v,Tilburg
Lijst_12 Lokaal Brabant,,28,C.J.G. Coenraad,Keesjan,Coenraad,m,Tilburg
Lijst_12 Lokaal Brabant,,29,N.G. Robben,Nick,Robben,m,Tilburg
Lijst_12 Lokaal Brabant,,30,L.H. van der Kallen,Louis,van der Kallen,m,Bergen op Zoom
Lijst_12 Lokaal Brabant,,31,P.A.W. Galle,Peter,Galle,m,Tilburg
Lijst_12 Lokaal Brabant,,32,F.J.C.M. van Aarle,Frans,van Aarle,m,Tilburg
Lijst_12 Lokaal Brabant,,33,J.A.A. van Huijgevoort,Joost,van Huijgevoort,m,Tilburg
Lijst_12 Lokaal Brabant,,34,A.A. Schijven,Jos,Schijven,m,St. Willebrord
