title,description,position,full_name,first_name,last_name,gender,place
Lijst_13 Multicultureel Plus Partij (M+),,1,E. Karadeniz,Ekrem,Karadeniz,m,Amsterdam
Lijst_13 Multicultureel Plus Partij (M+),,2,F. Korkmaz-Yazici,Firdevs,Korkmaz-Yazici,v,Zaandam
Lijst_13 Multicultureel Plus Partij (M+),,3,M. Türkmen,Mustafa,Türkmen,m,Lijnden
Lijst_13 Multicultureel Plus Partij (M+),,4,F. Dokcan,Fatma,Dokcan,v,Amsterdam
Lijst_13 Multicultureel Plus Partij (M+),,5,A. Karacabay,Ahmet,Karacabay,m,Amsterdam
Lijst_13 Multicultureel Plus Partij (M+),,6,S.N. Öcal,Sura Nur,Öcal,v,Amsterdam
Lijst_13 Multicultureel Plus Partij (M+),,7,S. Arslan,Salih,Arslan,m,Beverwijk
Lijst_13 Multicultureel Plus Partij (M+),,8,Y. Şahbaz,Yeter,Şahbaz,v,Amsterdam
Lijst_13 Multicultureel Plus Partij (M+),,9,A Dağ,Ali,Dağ,m,Amsterdam
Lijst_13 Multicultureel Plus Partij (M+),,10,A. Kiliç,Aysegul,Kiliç,v,Amsterdam
Lijst_13 Multicultureel Plus Partij (M+),,11,N Aytaç,Nurcan,Aytaç,v,Amsterdam
