title,description,position,full_name,first_name,last_name,gender,place
Lijst_3 PVV (Partij voor de Vrijheid),,1,D.J. van der Sluijs,Dannij,van der Sluijs,m,Uitgeest
Lijst_3 PVV (Partij voor de Vrijheid),,2,J.J.A.M. van Hooff,Joost,van Hooff,m,Naarden
Lijst_3 PVV (Partij voor de Vrijheid),,3,I.A. Bezaan,Ilse,Bezaan,v,Blaricum
Lijst_3 PVV (Partij voor de Vrijheid),,4,M.S. Ludriks,Menno,Ludriks,m,Uithoorn
Lijst_3 PVV (Partij voor de Vrijheid),,5,J. Portegijs,Jack,Portegijs,m,Amsterdam
Lijst_3 PVV (Partij voor de Vrijheid),,6,N. Kaptheijns,Nick,Kaptheijns,m,Amsterdam
Lijst_3 PVV (Partij voor de Vrijheid),,7,F. van der Heide,Frits,van der Heide,m,Heerhugowaard
Lijst_3 PVV (Partij voor de Vrijheid),,8,M. Deen,Marco,Deen,m,Zandvoort
Lijst_3 PVV (Partij voor de Vrijheid),,9,S.F. Besseling,Saskia,Besseling,v,Oudesluis
Lijst_3 PVV (Partij voor de Vrijheid),,10,H.Y. van Praag,Hervé,van Praag,m,Amsterdam
Lijst_3 PVV (Partij voor de Vrijheid),,11,M. ten Brink,Michael,ten Brink,m,Alkmaar
Lijst_3 PVV (Partij voor de Vrijheid),,12,N.J. Troost,Nico,Troost,m,Heerhugowaard
Lijst_3 PVV (Partij voor de Vrijheid),,13,C.T.J.J.M. Tol,Cor,Tol,m,Volendam
Lijst_3 PVV (Partij voor de Vrijheid),,14,B.J.M. de Wit,Bernadette,de Wit,v,Amsterdam
Lijst_3 PVV (Partij voor de Vrijheid),,15,O.F. Stuger,Olaf,Stuger,m,Bussum
Lijst_3 PVV (Partij voor de Vrijheid),,16,J.J.G. Jansen,Hans,Jansen,m,Amsterdam
Lijst_3 PVV (Partij voor de Vrijheid),,17,M. Bosma,Martin,Bosma,m,Amsterdam
