title,description,position,full_name,first_name,last_name,gender,place
Lijst_11 ChristenUnie-SGP,,1,M.C.A. Klein,Michel,Klein,m,Bussum
Lijst_11 ChristenUnie-SGP,,2,D.G.M. Ceder,Don,Ceder,m,Amsterdam
Lijst_11 ChristenUnie-SGP,,3,M. Terlouw,Marijke,Terlouw,v,Huizen
Lijst_11 ChristenUnie-SGP,,4,J.H. van Zaane,Jan,van Zaane,m,Koog aan de Zaan
Lijst_11 ChristenUnie-SGP,,5,K.J. Knol,Klaas-Jan,Knol,m,Hoofddorp
Lijst_11 ChristenUnie-SGP,,6,B. de Pijper,Bert,de Pijper,m,Amstelveen
Lijst_11 ChristenUnie-SGP,,7,R.T.J. Montijn,Ronald,Montijn,m,Amsterdam-Duivendrecht
Lijst_11 ChristenUnie-SGP,,8,J.A. van de Poel,Ko,van de Poel,m,Hilversum
Lijst_11 ChristenUnie-SGP,,9,A.C. Klein,Annacarina,Klein,v,Amsterdam
Lijst_11 ChristenUnie-SGP,,10,M.A.M. Vlaar,Maria,Vlaar,v,Amstelveen
Lijst_11 ChristenUnie-SGP,,11,C.L. Maas,Kees,Maas,m,Hoorn
Lijst_11 ChristenUnie-SGP,,12,J. Landwaart,Johan,Landwaart,m,Kortenhoef
Lijst_11 ChristenUnie-SGP,,13,J.P. de Groot,Johan Paul,de Groot,m,Kreileroord
Lijst_11 ChristenUnie-SGP,,14,G. van der Spoel,Gerrit,van der Spoel,m,Hoofddorp
Lijst_11 ChristenUnie-SGP,,15,D. Scheepstra,Dick,Scheepstra,m,Oudorp
Lijst_11 ChristenUnie-SGP,,16,R.J.C. Bource,Rob,Bource,m,Huizen
Lijst_11 ChristenUnie-SGP,,17,W. Doorn,Wessel,Doorn,m,Huizen
Lijst_11 ChristenUnie-SGP,,18,A.P. van der Beek-Platschorre,Mieke,van der Beek-Platschorre,v,Zaandam
Lijst_11 ChristenUnie-SGP,,19,J.H. Olsen,John,Olsen,m,Amsterdam Zuidoost
Lijst_11 ChristenUnie-SGP,,20,D. Rebel,Dirk,Rebel,m,Huizen
Lijst_11 ChristenUnie-SGP,,21,J.A. Koops-Scheele,Jacqueline,Koops-Scheele,v,Amstelveen
Lijst_11 ChristenUnie-SGP,,22,P.F. Bras,Piet,Bras,m,Den Helder
Lijst_11 ChristenUnie-SGP,,23,M.H. Mauritz-van Beem,Marleen,Mauritz-van Beem,v,Huizen
Lijst_11 ChristenUnie-SGP,,24,P.G. Heijkamp,Pieter,Heijkamp,m,Enkhuizen
Lijst_11 ChristenUnie-SGP,,25,F.C. Visser,Frank,Visser,m,Haarlem
Lijst_11 ChristenUnie-SGP,,26,M. Verhage-van Kooten,Marianne,Verhage-van Kooten,v,Huizen
Lijst_11 ChristenUnie-SGP,,27,J.S. Voordewind,Joël,Voordewind,m,Amsterdam
Lijst_11 ChristenUnie-SGP,,28,T. Joosse,Timo,Joosse,m,Heemskerk
Lijst_11 ChristenUnie-SGP,,29,T. Biersteker-Giljou,Tjitske,Biersteker-Giljou,v,Den Helder
Lijst_11 ChristenUnie-SGP,,30,R.W.I.M. Tromp,Raymund,Tromp,m,Schagen
Lijst_11 ChristenUnie-SGP,,31,J.A. Kuijsten-Bouma,Joke,Kuijsten-Bouma,v,Enkhuizen
Lijst_11 ChristenUnie-SGP,,32,A.N.J. Scheer,Albert,Scheer,m,Huizen
Lijst_11 ChristenUnie-SGP,,33,J. Swijnenburg,Jan,Swijnenburg,m,Aalsmeer
Lijst_11 ChristenUnie-SGP,,34,A.M. Groenendaal-Zwanenburg,Adrie,Groenendaal-Zwanenburg,v,Weesp
Lijst_11 ChristenUnie-SGP,,35,T. Huijboom-Brouwer,Trees,Huijboom-Brouwer,v,Heerhugowaard
Lijst_11 ChristenUnie-SGP,,36,W. Büdgen,Walter,Büdgen,m,Westzaan
Lijst_11 ChristenUnie-SGP,,37,T. de Geus,Theo,de Geus,m,Enkhuizen
Lijst_11 ChristenUnie-SGP,,38,W. Nugteren,Wim,Nugteren,m,Broek op Langedijk
Lijst_11 ChristenUnie-SGP,,39,E.H. Waljaard,Elsa,Waljaard,v,IJmuiden
Lijst_11 ChristenUnie-SGP,,40,A.J. van Bezooijen,Arjo,van Bezooijen,m,Hoofddorp
Lijst_11 ChristenUnie-SGP,,41,G.P. Jongsma,Geert,Jongsma,m,Alkmaar
Lijst_11 ChristenUnie-SGP,,42,R. Kuiper,Roel,Kuiper,m,Amsterdam
