title,description,position,full_name,first_name,last_name,gender,place
Lijst_7 GROENLINKS,,1,A. Hietbrink,Alwin,Hietbrink,m,Egmond aan Zee
Lijst_7 GROENLINKS,,2,V.M. Dalm,Vera,Dalm,v,Amsterdam
Lijst_7 GROENLINKS,,3,S. van Berkum,Servaz,van Berkum,m,Amsterdam
Lijst_7 GROENLINKS,,4,R.P.M. Kocken,Rosan,Kocken,v,Amsterdam
Lijst_7 GROENLINKS,,5,F.J. Kramer,Fred,Kramer,m,Amsterdam
Lijst_7 GROENLINKS,,6,V. Koerse,Vincent,Koerse,m,Monnickendam
Lijst_7 GROENLINKS,,7,Z. Pels,Zita,Pels,v,Amsterdam
Lijst_7 GROENLINKS,,8,J.C.N. Wagenaar,Sjon,Wagenaar,m,Hoogkarspel
Lijst_7 GROENLINKS,,9,J. Gringhuis,Jesper,Gringhuis,m,Diemen
Lijst_7 GROENLINKS,,10,R. Diktaş,Riza,Diktaş,m,Alkmaar
Lijst_7 GROENLINKS,,11,J.C.M. Olsthoorn,Hans,Olsthoorn,m,Bloemendaal
Lijst_7 GROENLINKS,,12,K.R. Jongsma,Karin,Jongsma,v,Amsterdam
Lijst_7 GROENLINKS,,13,J. Huijberts,Jola,Huijberts,v,Barsingerhorn
Lijst_7 GROENLINKS,,14,E.A. Peters,Lilian,Peters,v,Amsterdam
Lijst_7 GROENLINKS,,15,C. Kwint,Christiaan,Kwint,m,Heerhugowaard
Lijst_7 GROENLINKS,,16,R.E. Drommel,Roy,Drommel,m,Hoorn
Lijst_7 GROENLINKS,,17,R.J. Verhoogt,René,Verhoogt,m,Purmerend
Lijst_7 GROENLINKS,,18,L. Bromet,Laura,Bromet,v,Monnickendam
Lijst_7 GROENLINKS,,19,S.R. Bashara,Samir,Bashara,m,Hoorn
Lijst_7 GROENLINKS,,20,A. van den Brand,Arie,van den Brand,m,Spierdijk
Lijst_7 GROENLINKS,,21,M. van Poelgeest,Maarten,van Poelgeest,m,Amsterdam
Lijst_7 GROENLINKS,,22,L. Sipkes,Leoni,Sipkes,v,Ursem
Lijst_7 GROENLINKS,,23,L. van Tongeren,Liesbeth,van Tongeren,v,Amsterdam
Lijst_7 GROENLINKS,,24,L. Grooten,Lene,Grooten,v,Amsterdam
